"query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"Mulhouse, France",47.7467,7.3389275,47.5867,47.9067,7.1789275,7.4989275
"Wingham, Canada",43.886245,-81.31275,43.866245,43.906245,-81.33275,-81.29275
"Johannesburg, South Africa",-26.205,28.049722,-26.365,-26.045,27.889722,28.209722
"Landskrona, Sweden",55.8698007,12.8296734,55.7803713,55.963899,12.6523541,13.0590123
"Paris, France",48.8588897,2.32004102172008,48.8155755,48.902156,2.224122,2.4697602
"Uppsala, Sweden",59.8586126,17.6387436,59.6986126,60.0186126,17.4787436,17.7987436
"New York, NY, USA",40.7127281,-74.0060152,40.477399,40.9161785,-74.25909,-73.7001809
"Santiniketan, India",23.6580425,87.6988279,23.6530425,23.6630425,87.6938279,87.7038279
"Sochi, Russia",43.5854823,39.723109,43.3949798,44.0309026,39.1493697,40.0105333
"Ainay-le-Château, France",46.71838265,2.72946876330083,46.6879612,46.7490565,2.6717348,2.7601676
"Hampstead, United Kingdom",51.5580835,-0.1737206,51.5180835,51.5980835,-0.2137206,-0.1337206
"Vilnius, Lithuania",54.6870458,25.2829111,54.5270458,54.8470458,25.1229111,25.4429111
"Stanford, CA, USA",37.4265407,-122.170292584092,37.4066185,37.4468387,-122.1915123,-122.1495105
"Edinburgh, Scotland",55.9533456,-3.1883749,55.8187919,56.0040837,-3.4495326,-3.0749512
"London, United Kingdom",51.5073219,-0.1276474,51.3473219,51.6673219,-0.2876474,0.0323526
"Fowey, United Kingdom",50.33572855,-4.65848983974189,50.3133145,50.3581004,-4.6915677,-4.6302588
"Mit Abu al-Kawm, Egypt",30.636944,30.938333,30.616944,30.656944,30.918333,30.958333
"Bristol, United Kingdom",51.4538022,-2.5972985,51.3972838,51.5444317,-2.7183704,-2.5104192
"Nantes, France",47.2186371,-1.5541362,47.0586371,47.3786371,-1.7141362,-1.3941362
"Stockholm, Sweden",59.3251172,18.0710935,59.1651172,59.4851172,17.9110935,18.2310935
"Munich, Germany",48.1371079,11.5753822,48.0616244,48.2481162,11.360777,11.7229099
"Sydney, Canada",46.137977,-60.194092,46.1071148,46.1786423,-60.2161333,-60.1450518
"Wooster, OH, USA",40.7980976,-81.9397733,40.747666,40.8660854,-81.979975,-81.8856295
"Manchester, United Kingdom",53.4794892,-2.2451148,53.3401044,53.5445923,-2.3199185,-2.1468288
"Glasgow, Scotland",55.8609825,-4.2488787,55.7009825,56.0209825,-4.4088787,-4.0888787
"Brooklyn, NY, USA",40.6526006,-73.9497211,40.5700235,40.7394026,-74.0419691,-73.8556336
"Helsinki, Finland",60.1674881,24.9427473,60.0074881,60.3274881,24.7827473,25.1027473
"Grena, Denmark",56.4134419,10.8793137,56.3734419,56.4534419,10.8393137,10.9193137
"Ostend, Belgium",51.2258565,2.919496,51.1846337,51.2460739,2.8386276,3.0035408
"Yangon, Myanmar",16.7967129,96.1609916,16.6367129,16.9567129,96.0009916,96.3209916
"Karcag, Hungary",47.3121655,20.890361970164,47.1896346,47.4309078,20.7487362,21.0305648
"Savur, Turkey",37.5370766,40.8873466,37.437066,37.73865,40.60545,41.13049
"Honolulu, HI, USA",21.304547,-157.855676,21.2548159,21.4021936,-157.9535818,-157.6486277
"Hartford, CT, USA",41.764582,-72.6908547,41.7236703,41.8074191,-72.7180372,-72.6422873
"Omaha, NE, USA",41.2587459,-95.9383758,41.0987459,41.4187459,-96.0983758,-95.7783758
"Kalgoorlie, Australia",-30.7464139,121.473223,-30.9064139,-30.5864139,121.313223,121.633223
"Philadelphia, PA, USA",39.9527237,-75.1635262,39.867005,40.1379593,-75.2802977,-74.9558314
"Caracas, Venezuela",10.506098,-66.9146017,10.3404973,10.5641499,-67.16228,-66.690883
"Chicago, IL, USA",41.8755616,-87.6244212,41.644531,42.0230396,-87.940101,-87.5240812
"Halmstad, Sweden",56.6739826,12.8574827,56.5139826,56.8339826,12.6974827,13.0174827
"Barger-Compascuum, the Netherlands",52.754792,7.042117,52.7232026,52.7803235,7.0022013,7.0690748
"Stuttgart, Germany",48.7784485,9.1800132,48.6920188,48.8663994,9.0386007,9.3160228
"Prague, Czech Republic",50.0874654,14.4212535,49.9419006,50.1774301,14.2244355,14.7067867
"Klippan, Sweden",56.15,13.166667,56.0009838,56.2315107,12.9811147,13.522511
"Lethbridge, Alberta, Canada",49.694285,-112.851562,49.6188534,49.7565104,-112.9496675,-112.7566288
"Trelleck, United Kingdom",51.7450901,-2.7244457,51.7250901,51.7650901,-2.7444457,-2.7044457
"Belfast, Northern Ireland",54.596391,-5.9301829,54.436391,54.756391,-6.0901829,-5.7701829
"Kvikne, Norway",61.57589,9.5886086,61.55589,61.59589,9.5686086,9.6086086
"Duluth, MN, USA",46.7729322,-92.1251218,46.6491584,46.880571,-92.301192,-91.920178
"Cardiff, United Kingdom",51.4816546,-3.1791934,51.3216546,51.6416546,-3.3391934,-3.0191934
"Little Falls, MN, USA",45.9763545,-94.3625024,45.9363545,46.0163545,-94.4025024,-94.3225024
"Missoula, MT, USA",46.8701049,-113.995267,46.7915386,46.949951,-114.1272915,-113.8973161
"Fort Worth, TX, USA",32.753177,-97.3327459,32.593177,32.913177,-97.4927459,-97.1727459
"Glencorse, Scotland",55.8544964,-3.2076147,55.8444964,55.8644964,-3.2176147,-3.1976147
"Corteno, Italy",46.1665725,10.2432187,46.1665225,46.1666225,10.2431687,10.2432687
"Iria Flavia, Spain",42.7487367,-8.6495728,42.7185907,42.769771,-8.672055,-8.6258862
"Cologne, Germany",50.938361,6.959974,50.8304399,51.0849743,6.7725303,7.162028
"Liestal, Switzerland",47.4839723,7.7347783,47.4629599,47.5034239,7.669882,7.7843616
"Hamburg, Germany",53.550341,10.000654,53.390341,53.710341,9.840654,10.160654
"Corvallis, OR, USA",44.5645659,-123.2620435,44.5199325,44.607243,-123.3362174,-123.2310359
"Gorizia, Italy",45.9441278,13.6252288,45.7841278,46.1041278,13.4652288,13.7852288
"San Diego, CA, USA",32.7174202,-117.1627728,32.5347737,33.114249,-117.3098053,-116.9057226
"Tonbridge, United Kingdom",51.1889529,0.2735876,51.1489529,51.2289529,0.2335876,0.3135876
"Bahia Blanca, Argentina",-38.7176522,-62.2654871,-38.76468,-38.6332067,-62.3528141,-62.1600409
"Halifax, Canada",44.648618,-63.5859487,44.581167,44.7112114,-63.7226567,-63.5431999
"Fleurier, Switzerland",46.904275,6.58004,46.884275,46.924275,6.56004,6.60004
"Marietta, OH, USA",39.4167742,-81.4548392,39.3976383,39.459228,-81.497484,-81.401933
"Widnes, United Kingdom",53.3646888,-2.7283328,53.3246888,53.4046888,-2.7683328,-2.6883328
"Greenville, SC, USA",34.851354,-82.3984882,34.7687981,34.890824,-82.4349118,-82.2869685
"Pusan, South Korea",35.1799528,129.0752365,34.7252504,35.3892236,128.7568072,129.4889527
"Shanghai, China",31.2322758,121.4692071,31.0722758,31.3922758,121.3092071,121.6292071
"Rouen, France",49.4404591,1.0939658,49.4172001,49.4652601,1.0300648,1.1521157
"Nijkerk, the Netherlands",52.21485365,5.47814632396509,52.1657618,52.2639241,5.3932098,5.6348621
"Monessen, PA, USA",40.1484053,-79.8878254,40.133022,40.1651855,-79.9051369,-79.861391
"Thames Ditton, United Kingdom",51.389182,-0.3290769,51.369182,51.409182,-0.3490769,-0.3090769
"Stavanger, Norway",59.1020129,5.7126113572757,58.8846585,59.3121017,5.499034,6.1313107
"Magdeburg, Germany",52.1315889,11.6399609,52.0237486,52.2283456,11.5172264,11.7639936
"Nicosia, Cyprus",35.1748976,33.3638568,35.0148976,35.3348976,33.2038568,33.5238568
"Constantine, Algeria",36.364519,6.60826,36.2589259,36.4490899,6.5284453,6.7665523
"Antananarivo, Madagascar",-18.9100122,47.5255809,-19.0700122,-18.7500122,47.3655809,47.6855809
"Pittsburgh, PA, USA",40.4416941,-79.9900861,40.36152,40.5012021,-80.095517,-79.865728
"Bloomington, IL, USA",40.4797828,-88.9939147,40.429435,40.518352,-89.067715,-88.863539
"Swansea, United Kingdom",51.6195955,-3.9459248,51.4595955,51.7795955,-4.1059248,-3.7859248
"Olympus, TN, USA",47.5266377,-122.1676737,47.5166377,47.5366377,-122.1776737,-122.1576737
"Ghent, Belgium",51.0538286,3.7250121,50.9795422,51.1888864,3.5797616,3.849325
"Œeteniai, Lithuania",55.3964342,24.0353929,55.3764342,55.4164342,24.0153929,24.0553929
"Yonkers, NY, USA",40.9312099,-73.8987469,40.900479,40.988393,-73.919289,-73.810425
"Jönköping, Sweden",57.7825634,14.165719,57.6225634,57.9425634,14.005719,14.325719
"Enterprise, OR, USA",45.4258114,-117.278012,45.414751,45.435786,-117.297761,-117.261923
"Tel Aviv, Israel",32.0852997,34.7818064,32.0293437,32.1469766,34.739131,34.8466092
"Neuchâtel, Switzerland",46.9895828,6.9292641,46.977838,47.063822,6.8451454,6.9917755
"Henan, China",34.0000001,113.9999999,31.3844585,36.3668117,110.3551121,116.6456169
"Raleigh, NC, USA",35.7803977,-78.6390989,35.7082575,35.970736,-78.8189744,-78.4707917
"Wilmington, DE, USA",39.7459468,-75.546589,39.5859468,39.9059468,-75.706589,-75.386589
"Leggiuno-Sangiano, Italy",45.86739705,8.62973207393438,45.8673041,45.86749,8.6296552,8.6298089
"Windsor, ON, Canada",42.317099,-83.0353434,42.157099,42.477099,-83.1953434,-82.8753434
"Bearsden, United Kingdom",55.920461,-4.3332046,55.880461,55.960461,-4.3732046,-4.2932046
"Milwaukee, WI, USA",43.0349931,-87.922497,42.9208206,43.1949435,-88.0710618,-87.8629671
"Rye, NY, USA",40.9808209,-73.684294,40.9408209,41.0208209,-73.724294,-73.644294
"Bukavu, Democratic Republic of the Congo",-2.51039075,28.8336436,-2.5611686,-2.4601557,28.7936943,28.8930976
"Gravesend, United Kingdom",51.4424747,0.3694468,51.4074148,51.4520117,0.3533541,0.4312918
"Castries, Saint Lucia",14.0095966,-60.9902359,13.9695966,14.0495966,-61.0302359,-60.9502359
"Klerksdorp, South Africa",-26.8625383,26.6656814,-27.0225383,-26.7025383,26.5056814,26.8256814
"Orange, NJ, USA",40.770887,-74.2311190585561,40.7519254,40.7898,-74.255273,-74.2184263
"Geneva, Switzerland",46.2017559,6.1466014,46.1777724,46.231885,6.1102411,6.1758527
"Cleveland, OH, USA",41.5051613,-81.6934446,41.3451613,41.6651613,-81.8534446,-81.5334446
"Chester, VT, USA",43.2636017,-72.5960245,43.2225802,43.351974,-72.6854407,-72.5454374
"Guelph, Canada",43.5460516,-80.2493276,43.4738217,43.594353,-80.3269091,-80.1535013
"Kermanshah, Iran",34.3789744,46.7010122,33.6889436,35.284506,45.407661,48.1050029
"Cairo, Egypt",30.0443879,31.2357257,29.8843879,30.2043879,31.0757257,31.3957257
"Aberdeen, WA, USA",46.975371,-123.815722,46.815371,47.135371,-123.975722,-123.655722
"Cambridge, MA, USA",42.3750997,-71.1056157,42.3524025,42.4042593,-71.1603989,-71.0639844
"San José, CA, USA",37.3361905,-121.890583,37.124503,37.4692175,-122.045672,-121.589153
"Mart, TX, USA",31.5423911,-96.8336015,31.5223911,31.5623911,-96.8536015,-96.8136015
"Taylorville, IL, USA",39.548935,-89.294533,39.462369,39.596916,-89.337651,-89.218177
"Burlingame, KS, USA",38.7538947,-95.8349868,38.74164,38.760645,-95.845949,-95.824646
"Evanston, IL, USA",42.0447388,-87.6930459,42.0191465,42.0717698,-87.732456,-87.6650214
"Alesund, Norway",62.76712545,6.16882806631353,62.3943575,63.0913315,5.6412388,7.1204593
"Hume, IL, USA",39.7967015,-87.8686414,39.79143,39.807107,-87.880289,-87.861222
"Wilkes-Barre, PA, USA",41.2464824,-75.8817316,41.2219327,41.272918,-75.926932,-75.82685
"South Norwalk, CT, USA",41.0956718,-73.4219246,41.0906718,41.1006718,-73.4269246,-73.4169246
"Glens Falls, NY, USA",43.309941,-73.644447,43.289572,43.3270988,-73.6740522,-73.6167532
"Boulder, CO, USA",40.0149856,-105.270545,39.8549856,40.1749856,-105.430545,-105.110545
"Bradford, United Kingdom",53.7944229,-1.7519186,53.7243414,53.963151,-2.0612483,-1.6403301
"Lansing, IA, USA",43.3621867,-91.2165893,43.3465977,43.3753317,-91.2559753,-91.2071726
"Redondo Beach, CA, USA",33.8455911,-118.3886766,33.8146792,33.8946574,-118.4722987,-118.352333
"Avanca, Portugal",40.8077237,-8.5848776,40.8027237,40.8127237,-8.5898776,-8.5798776
"Changchun, China",43.8130735,125.3171216,43.1599943,45.251339,124.0087362,127.0877885
"Tabuse, Japan",33.9548389,132.0411783,33.8727034,34.021286,131.979974,132.073481
"Mürzzuschlag, Austria",47.5948488,15.6833549675208,47.548761,47.6410343,15.62623,15.769794
"Ruse, Bulgaria",43.8480413,25.9542057,43.7419965,43.9018697,25.8636442,26.0824089
"Methuen, MA, USA",42.7262016,-71.1908924,42.5662016,42.8862016,-71.3508924,-71.0308924
"Sighet, Romania",47.9283242,23.8915583,47.9117297,47.9455,23.8572398,23.9346383
"Clinton, NY, USA",43.0484029,-75.3785034,43.043516,43.056521,-75.391018,-75.36632
"Los Angeles, CA, USA",34.0536909,-118.242766,33.659541,34.337306,-118.6681779,-118.1552947
"Hobart, Tasmania, Australia",-42.8825088,147.3281233,-42.891635,-42.873046,147.31561,147.341498
"Monrovia, Liberia",6.328034,-10.797788,6.168034,6.488034,-10.957788,-10.637788
"Euskirchen, Germany",50.6612623,6.7871219,50.3226897,50.7896443,6.3160973,6.9349233
"Lawice, Poland",53.57942,19.6542,53.570041,53.5984926,19.629344,19.676057
"Tivoli, Italy",41.960922,12.798884,41.9166792,42.0060733,12.6899187,12.8477635
"Boston, MA, USA",42.3602534,-71.0582912,42.2002534,42.5202534,-71.2182912,-70.8982912
"Rome, Italy",41.8933203,12.4829321,41.7333203,42.0533203,12.3229321,12.6429321
"Ann Arbor, MI, USA",42.2681569,-83.7312291,42.222668,42.3238941,-83.799572,-83.675807
"Palo Alto, CA, USA",37.4443293,-122.1598465,37.2861556,37.477942,-122.2025817,-122.0710774
"South Bend, IN, USA",41.6833813,-86.2500066,41.5974505,41.7602675,-86.3607483,-86.1912911
"Karlbo, Sweden",60.1207997,16.2442560097972,60.116138,60.1253559,16.2242165,16.2577108
"Oak Park, IL, USA",41.8878145,-87.7887615,41.8649669,41.9092533,-87.8057685,-87.7741322
"Canton, SD, USA",43.300815,-96.59282,43.2926983,43.315435,-96.6287976,-96.5494301
"Nelson, New Zealand",-41.2710849,173.2836756,-41.4310849,-41.1110849,173.1236756,173.4436756
"Dungarvan, Ireland",52.0897488,-7.6210306,52.0497488,52.1297488,-7.6610306,-7.5810306
"Milan, Italy",45.4641943,9.1896346,45.3867381,45.5358482,9.0408867,9.2781103
"Heidelberg, Germany",49.4093582,8.694724,49.3520029,49.4596927,8.5731788,8.7940496
"Landsberg, Germany",48.0514973,10.8737728,47.9878848,48.0794911,10.807257,10.9238811
"Genoa, Italy",44.40726,8.9338624,44.3784709,44.5198419,8.6657444,9.0955805
"Svartbjörnsbyn, Sweden",65.8470216,21.7031274,65.8370216,65.8570216,21.6931274,21.7131274
"Delaware, OH, USA",40.2986724,-83.067965,40.227401,40.338201,-83.12861,-83.012601
"Zurich, Switzerland",47.3744489,8.5410422,47.3202203,47.4346662,8.4480061,8.6254413
"Fulda, Germany",50.5542328,9.6770448,50.4995432,50.6294057,9.5661398,9.7329823
"Whiting, IN, USA",41.6797578,-87.4944873,41.6575362,41.6892044,-87.5002741,-87.4621553
"Gjesdal, Norway",58.83120885,6.27708508751265,58.6724851,58.9899954,5.7989873,6.6655257
"Northampton, United Kingdom",52.23433665,-0.902807276818583,52.1860899,52.2826966,-0.971041,-0.7913699
"Harborne, United Kingdom",52.4595363,-1.9503355,52.4195363,52.4995363,-1.9903355,-1.9103355
"Etterbeek, Belgium",50.8361447,4.3861737,50.8225269,50.844661,4.3792052,4.4117701
"Nancy, France",48.68806655,6.1811503611274,48.666906,48.7092349,6.134292,6.2126188
"Bordeaux, France",44.841225,-0.5800364,44.8107826,44.9161806,-0.6386987,-0.5336838
"Potsdam, NY, USA",44.671551,-74.9834271988126,44.649463,44.693873,-75.021608,-74.953263
"Hämeenkyrö, Finland",61.633333,23.2,61.5159863,61.7372885,22.8240404,23.5003183
"Maillane, France",43.8231243,4.78453474388471,43.7985404,43.8476508,4.75006,4.8163346
"Auburn, AL, USA",32.6098566,-85.4807825,32.4498566,32.7698566,-85.6407825,-85.3207825
"Alliston, Canada",46.0544878,-62.6252289119356,46.0362752,46.0729571,-62.6490679,-62.6009396
"Paterson, NJ, USA",40.9167654,-74.171811,40.7567654,41.0767654,-74.331811,-74.011811
"Rendcombe, United Kingdom",51.7859976,-1.9723485,51.7659976,51.8059976,-1.9923485,-1.9523485
"Eastbourne, United Kingdom",50.7733195,0.259146559219269,50.7334349,50.8130781,0.2093529,0.3399818
"Nastved, Denmark",55.2328252,11.7674102,55.1928252,55.2728252,11.7274102,11.8074102
"Oslo, Norway",59.9133301,10.7389701,59.7533301,60.0733301,10.5789701,10.8989701
"Amsterdam, the Netherlands",52.3727598,4.8936041,52.2781742,52.4310638,4.7287563,5.0791622
"Wroclaw, Poland",51.1089776,17.0326689,51.0426686,51.2100604,16.8073393,17.1762192
"Kaliningrad, Russia",54.710128,20.5105838,54.6319403,54.7792148,20.293279,20.6502012
"Ljubljana, Slovenia",46.0499803,14.5068602,45.9740637,46.1459968,14.408617,14.755332
"Aracataca, Colombia",10.5906011,-74.1876803,10.5506011,10.6306011,-74.2276803,-74.1476803
"Hollerich, Luxembourg",49.5983299,6.1228061,49.5953614,49.6087913,6.0954936,6.1270466
"Vicuna, Chile",-30.0340383,-70.7126682,-30.0340883,-30.0339883,-70.7127182,-70.7126182
"Ganzhou, China",25.8332103,114.9287362,25.6732103,25.9932103,114.7687362,115.0887362
"Pottsville, PA, USA",40.6851324,-76.1953701,40.6617591,40.698782,-76.2414763,-76.184522
"Todmorden, United Kingdom",53.7137251,-2.097753,53.6701455,53.7496609,-2.1732936,-2.0296416
"Wahoo, NE, USA",41.2111084,-96.6197985,41.191253,41.244941,-96.636134,-96.589242
"Dublin, Ireland",53.3497645,-6.2602732,53.2987342,53.4105416,-6.3870259,-6.1148829
"Uniontown, PA, USA",39.900076,-79.7164326,39.88264,39.912168,-79.744907,-79.703248
"Bradford, MA, USA",29.9715087,-82.1608653,29.718232,30.14324,-82.418728,-82.046112
"Lasi, Romania",56.4627701,25.9421273,56.4427701,56.4827701,25.9221273,25.9621273
"White Plains, NY, USA",41.0339862,-73.7629097,40.982445,41.069796,-73.7898554,-73.7195409
"Yukon, FL, USA",30.2346844,-81.6981513,30.2246844,30.2446844,-81.7081513,-81.6881513
"Hoquiam, WA, USA",46.980929,-123.889335,46.951518,47.021877,-123.951386,-123.8519036
"Ashland, NH, USA",43.69568,-71.630859,43.6862089,43.7494567,-71.6780136,-71.5820688
"Renton, WA, USA",47.4799078,-122.2034496,47.422984,47.539366,-122.254219,-122.120286
"Norwalk, CT, USA",41.1175966,-73.4078968,41.020449,41.1712683,-73.4745657,-73.3802856
"Cambridge, United Kingdom",52.2055314,0.1186637,52.1579417,52.2372296,0.0686389,0.184552
"Stainforth, United Kingdom",53.5960361,-1.0279463,53.5803034,53.6149193,-1.0673777,-0.9766305
"Dinant, Belgium",50.2591576,4.9130624,50.1802376,50.3046782,4.8544268,5.0481081
"Calais, France",50.9524769,1.8538446,50.7924769,51.1124769,1.6938446,2.0138446
"Albertville, France",45.6754622,6.3925417,45.6354622,45.7154622,6.3525417,6.4325417
"Den Helder, the Netherlands",52.9529894,4.8267592494488,52.8838413,53.0219782,4.6294507,4.925838
"Lagow, Poland",50.7754877,21.0839837,50.7641678,50.7910457,21.0477015,21.1191551
"Bad Cannstatt, Germany",48.8048828,9.2146797,48.7835921,48.8299314,9.1793704,9.2568091
"Bad Salzbrunn, Poland",50.8066959,16.2540971,50.7668817,50.8234794,16.1899957,16.28063
"Izmir, Turkey",38.4147331,27.1434119,38.2547331,38.5747331,26.9834119,27.3034119
"Val di Castello, Italy",46.161275,9.991929,46.1608116,46.1618645,9.9883609,9.9953685
"Imperia, Italy",43.95837525,7.86674271467428,43.7756906,44.1410201,7.4951614,8.1353954
"Ishpeming, MI, USA",46.488547,-87.667636,46.4630635,46.513888,-87.697856,-87.6337767
"Newark, United Kingdom",53.07536855,-0.803576530747746,53.0494061,53.1013771,-0.8379285,-0.7652019
"Nuoro, Sardinia, Italy",40.26397055,9.12722009781746,39.8222077,40.7060029,8.6111616,9.8293196
"Bologna, Italy",44.4938203,11.3426327,44.3338203,44.6538203,11.1826327,11.5026327
"Skattungbyn, Sweden",61.1857383,14.8481986,61.1657383,61.2057383,14.8281986,14.8681986
"Niegoslawice, Poland",51.5878011,15.715295,51.5678011,51.6078011,15.695295,15.735295
"Gdansk, Poland",54.36119285,18.6286088336207,54.2749189,54.4472177,18.4294955,18.9502437
"Stenstorp, Sweden",58.2713175,13.7133276,58.2655024,58.280267,13.7024698,13.7309778
"Raipur, India",21.2379469,81.6336833,21.0779469,21.3979469,81.4736833,81.7936833
"Reykjavik, Iceland",64.145981,-21.9422367,64.0404021,64.3153711,-21.9838299,-21.4019991
"Norrköping, Sweden",58.5909124,16.1903511,58.5509124,58.6309124,16.1503511,16.2303511
"Strasbourg, France",48.584614,7.7507127,48.424614,48.744614,7.5907127,7.9107127
"Hoechst, Germany",50.0948805,8.53429650379253,50.0945394,50.0952356,8.5332694,8.5355498
"Görlitz, Germany",51.1563185,14.991018,51.052564,51.2279599,14.9116798,15.0179368
"Hildesheim, Germany",52.1521636,9.9513046,52.0935785,52.1939078,9.8465506,10.0428454
"Augsburg, Germany",48.3668041,10.8986971,48.2581444,48.4586541,10.7633615,10.9593328
"Gelsenkirchen, Germany",51.5110321,7.0960124,51.4808012,51.6315932,6.9874995,7.152327
"Walkerton, IN, USA",41.4667113,-86.4830681,41.4510799,41.4837414,-86.4984847,-86.4666669
"Oceanside, NY, USA",40.6335915,-73.6376527180368,40.609503,40.657397,-73.661943,-73.613673
"Jämshög, Sweden",56.2412875,14.5319796,56.2212875,56.2612875,14.5119796,14.5519796
"Ludwigsburg, Germany",48.8953937,9.1895147,48.8734228,48.932556,9.1373656,9.3124752
"Groningen, the Netherlands",53.2190652,6.5680077,53.0590652,53.3790652,6.4080077,6.7280077
"Buchs, Switzerland",47.1627634,9.4764086,47.1370301,47.2030399,9.3977331,9.5026522
"Pforzheim, Germany",48.8908846,8.7029532,48.819013,48.9297027,8.6247381,8.8087399
"Arnhem, the Netherlands",51.984257,5.9108573,51.9334642,52.0778905,5.8029606,5.9903401
"Brussels, Belgium",50.8465573,4.351697,50.7964079,50.9139045,4.3140021,4.4370711
"Fredericia, Denmark",55.565268,9.7562169,55.525268,55.605268,9.7162169,9.7962169
"Fürth, Germany",49.4772475,10.9893626,49.4361798,49.5412538,10.8931571,11.0286601
"Neudorf, Canada",50.7136022,-103.0120907,50.6936022,50.7336022,-103.0320907,-102.9920907
"Wola Okrzejska, Poland",51.7490356,22.1354431,51.7290356,51.7690356,22.1154431,22.1554431
"Weimar, Germany",50.9810486,11.3296637,50.9171123,51.0367147,11.2349051,11.4019598
"Platteville, WI, USA",42.7342942,-90.4784451,42.713974,42.754691,-90.506309,-90.429595
"Calw, Germany",48.7112108,8.7452043,48.6479779,48.7614935,8.658392,8.8053722
"Worms, Germany",49.6302618,8.3620898,49.5902618,49.6702618,8.3220898,8.4020898
"Tokyo, Japan",35.6828387,139.7594549,20.2145811,35.8984245,135.8536855,154.205541
"Hamamatsu, Japan",34.7109786,137.7259431,34.4064663,35.304395,137.48685,138.058702
"Linköping, Sweden",58.4098135,15.6245252,58.2498135,58.5698135,15.4645252,15.7845252
"Vladivostok, Russia",43.1150678,131.8855768,43.0574834,43.2900297,131.8404249,132.2378628
"St. Petersburg, Russia",59.91785735,30.3806193570255,59.7441481,60.0907368,30.0433427,30.5671662
"Kharkiv, Ukraine",49.9923181,36.2310146,49.8784822,50.1047533,36.1055541,36.4554864
"Leoncin, Poland",52.3936382,20.534073,52.3892037,52.3996865,20.5219787,20.5419662
"Chiran, Japan",31.3792701,130.4433045,31.3592701,31.3992701,130.4233045,130.4633045
"Rymanow, Poland",49.576131,21.8676433,49.5539839,49.5975372,21.8396868,21.9058182
"Voronezh, Russia",51.6605982,39.2005858,51.4848657,51.9026192,39.0132338,39.6596479
"Ryazan, Russia",54.6702523,39.6884423623199,54.5285459,54.8120073,39.5366736,39.8995776
