Entity,Code,Year,CSP LCOE (2019 USD/kWh),Hydro LCOE (2019 USD/kWh),Solar LCOE (2019 USD/kWh),Onshore wind LCOE (2019 USD/kWh),Bioenergy LCOE (2019 USD/kWh),Geothermal LCOE (2019 USD/kWh),Offshore wind LCOE (2019 USD/kWh)
China,CHN,2016,,,0.0841,0.062,,,
China,CHN,2017,,,0.0753,0.057,,,
China,CHN,2018,,,0.0574,0.057,,,
China,CHN,2019,,,0.0541,0.047,,,
China,CHN,1996,,,,0.176,,,
China,CHN,1997,,,,0.176,,,
China,CHN,1998,,,,0.154,,,
China,CHN,1999,,,,0.149,,,
China,CHN,2000,,,,0.137,,,
China,CHN,2001,,,,0.117,,,
China,CHN,2002,,,,0.128,,,
China,CHN,2003,,,,0.093,,,
China,CHN,2004,,,,0.098,,,
China,CHN,2005,,,,0.095,,,
China,CHN,2006,,,,0.091,,,
China,CHN,2007,,,,0.081,,,
China,CHN,2008,,,,0.075,,,
China,CHN,2009,,,,0.073,,,
Denmark,DNK,1984,,,,0.241,,,
Denmark,DNK,1985,,,,0.229,,,
Denmark,DNK,1986,,,,0.223,,,
Denmark,DNK,1987,,,,0.213,,,
Denmark,DNK,1988,,,,0.218,,,
Denmark,DNK,1989,,,,0.202,,,
Denmark,DNK,1990,,,,0.205,,,
Denmark,DNK,1991,,,,0.196,,,
Denmark,DNK,1992,,,,0.182,,,
Denmark,DNK,1993,,,,0.182,,,
Denmark,DNK,1995,,,,0.155,,,
Denmark,DNK,1996,,,,0.151,,,
Denmark,DNK,1997,,,,0.153,,,
Denmark,DNK,1998,,,,0.145,,,
Denmark,DNK,1999,,,,0.142,,,
Denmark,DNK,2000,,,,0.15,,,
Denmark,DNK,2001,,,,0.144,,,
Denmark,DNK,2002,,,,0.11,,,
Denmark,DNK,2003,,,,0.094,,,
Denmark,DNK,2004,,,,0.085,,,
Denmark,DNK,2005,,,,0.097,,,
Denmark,DNK,2006,,,,0.116,,,
Denmark,DNK,2008,,,,0.098,,,
Denmark,DNK,2010,,,,0.1,,,
Denmark,DNK,2011,,,,0.103,,,
Denmark,DNK,2012,,,,0.083,,,
Denmark,DNK,2013,,,,0.087,,,
Denmark,DNK,2015,,,,0.067,,,
Denmark,DNK,2016,,,,0.066,,,
Denmark,DNK,2017,,,,0.059,,,
Denmark,DNK,2018,,,,0.059,,,
Denmark,DNK,2019,,,,0.06,,,
France,FRA,2010,,,0.3513,0.106,,,
France,FRA,2011,,,0.3729,0.096,,,
France,FRA,2012,,,0.4119,0.088,,,
France,FRA,2013,,,0.246,0.083,,,
France,FRA,2014,,,0.171,0.079,,,
France,FRA,2015,,,0.1247,0.078,,,
France,FRA,2016,,,0.1022,0.076,,,
France,FRA,2017,,,0.0955,0.09,,,
France,FRA,2018,,,0.0839,0.075,,,
France,FRA,2019,,,0.0804,0.065,,,
France,FRA,1991,,,,0.203,,,
France,FRA,1993,,,,0.2,,,
France,FRA,1996,,,,0.181,,,
France,FRA,1997,,,,0.17,,,
France,FRA,1998,,,,0.158,,,
France,FRA,1999,,,,0.151,,,
France,FRA,2000,,,,0.119,,,
France,FRA,2001,,,,0.125,,,
France,FRA,2002,,,,0.124,,,
France,FRA,2003,,,,0.102,,,
France,FRA,2004,,,,0.113,,,
France,FRA,2005,,,,0.111,,,
France,FRA,2006,,,,0.113,,,
France,FRA,2007,,,,0.106,,,
France,FRA,2008,,,,0.124,,,
France,FRA,2009,,,,0.102,,,
Germany,DEU,2010,,,0.3339,0.107,,,
Germany,DEU,2011,,,0.2941,0.107,,,
Germany,DEU,2012,,,0.2457,0.098,,,
Germany,DEU,2013,,,0.2023,0.097,,,
Germany,DEU,2014,,,0.1544,0.092,,,
Germany,DEU,2015,,,0.1265,0.087,,,
Germany,DEU,2016,,,0.1147,0.084,,,
Germany,DEU,2017,,,0.1092,0.083,,,
Germany,DEU,2018,,,0.1081,0.072,,,
Germany,DEU,2019,,,0.0897,0.068,,,
Germany,DEU,1984,,,,0.241,,,
Germany,DEU,1990,,,,0.212,,,
Germany,DEU,1991,,,,0.203,,,
Germany,DEU,1992,,,,0.205,,,
Germany,DEU,1993,,,,0.2,,,
Germany,DEU,1994,,,,0.159,,,
Germany,DEU,1995,,,,0.179,,,
Germany,DEU,1996,,,,0.166,,,
Germany,DEU,1997,,,,0.165,,,
Germany,DEU,1998,,,,0.148,,,
Germany,DEU,1999,,,,0.154,,,
Germany,DEU,2000,,,,0.152,,,
Germany,DEU,2001,,,,0.157,,,
Germany,DEU,2002,,,,0.131,,,
Germany,DEU,2003,,,,0.122,,,
Germany,DEU,2004,,,,0.122,,,
Germany,DEU,2005,,,,0.125,,,
Germany,DEU,2006,,,,0.127,,,
Germany,DEU,2007,,,,0.119,,,
Germany,DEU,2008,,,,0.12,,,
Germany,DEU,2009,,,,0.112,,,
India,IND,2010,,,0.3054,0.081,,,
India,IND,2011,,,0.1997,0.072,,,
India,IND,2012,,,0.1747,0.087,,,
India,IND,2013,,,0.1795,0.087,,,
India,IND,2014,,,0.1203,0.089,,,
India,IND,2015,,,0.081,0.077,,,
India,IND,2016,,,0.0786,0.069,,,
India,IND,2017,,,0.074,0.058,,,
India,IND,2018,,,0.0551,0.049,,,
India,IND,2019,,,0.0447,0.049,,,
India,IND,1990,,,,0.238,,,
India,IND,1991,,,,0.267,,,
India,IND,1992,,,,0.246,,,
India,IND,1993,,,,0.246,,,
India,IND,1994,,,,0.246,,,
India,IND,1995,,,,0.231,,,
India,IND,1996,,,,0.224,,,
India,IND,1997,,,,0.208,,,
India,IND,1998,,,,0.2,,,
India,IND,1999,,,,0.193,,,
India,IND,2000,,,,0.173,,,
India,IND,2001,,,,0.142,,,
India,IND,2002,,,,0.131,,,
India,IND,2003,,,,0.144,,,
India,IND,2004,,,,0.108,,,
India,IND,2005,,,,0.112,,,
India,IND,2006,,,,0.124,,,
India,IND,2007,,,,0.103,,,
India,IND,2008,,,,0.097,,,
India,IND,2009,,,,0.075,,,
Italy,ITA,2010,,,0.3826,0.113,,,
Italy,ITA,2011,,,0.3641,0.137,,,
Italy,ITA,2012,,,0.1906,0.128,,,
Italy,ITA,2013,,,0.174,0.092,,,
Italy,ITA,2014,,,0.1482,0.091,,,
Italy,ITA,2017,,,0.0795,0.097,,,
Italy,ITA,2018,,,0.0718,0.065,,,
Italy,ITA,2019,,,0.0684,0.062,,,
Italy,ITA,1989,,,,0.21,,,
Italy,ITA,1991,,,,0.203,,,
Italy,ITA,1992,,,,0.205,,,
Italy,ITA,1993,,,,0.2,,,
Italy,ITA,1994,,,,0.188,,,
Italy,ITA,1995,,,,0.178,,,
Italy,ITA,1996,,,,0.181,,,
Italy,ITA,1997,,,,0.17,,,
Italy,ITA,1998,,,,0.158,,,
Italy,ITA,1999,,,,0.151,,,
Italy,ITA,2000,,,,0.145,,,
Italy,ITA,2001,,,,0.125,,,
Italy,ITA,2002,,,,0.135,,,
Italy,ITA,2003,,,,0.126,,,
Italy,ITA,2004,,,,0.112,,,
Italy,ITA,2005,,,,0.123,,,
Italy,ITA,2006,,,,0.121,,,
Italy,ITA,2007,,,,0.122,,,
Italy,ITA,2008,,,,0.11,,,
Italy,ITA,2009,,,,0.122,,,
Italy,ITA,2015,,,,0.094,,,
Italy,ITA,2016,,,,0.074,,,
Japan,JPN,2011,,,0.4049,0.12,,,
Japan,JPN,2012,,,0.3014,0.162,,,
Japan,JPN,2013,,,0.2604,0.147,,,
Japan,JPN,2014,,,0.2405,0.14,,,
Japan,JPN,2015,,,0.1787,0.115,,,
Japan,JPN,2016,,,0.1879,0.163,,,
Japan,JPN,2017,,,0.1546,0.121,,,
Japan,JPN,2018,,,0.1495,0.128,,,
Japan,JPN,2019,,,0.1439,0.113,,,
Japan,JPN,2000,,,,0.169,,,
Japan,JPN,2005,,,,0.165,,,
Japan,JPN,2010,,,,0.157,,,
Mexico,MEX,2007,,,,0.07,,,
Mexico,MEX,2008,,,,0.043,,,
Mexico,MEX,2009,,,,0.069,,,
Mexico,MEX,2010,,,,0.083,,,
Mexico,MEX,2011,,,,0.075,,,
Mexico,MEX,2012,,,,0.06,,,
Mexico,MEX,2013,,,,0.073,,,
Mexico,MEX,2014,,,,0.074,,,
Mexico,MEX,2015,,,,0.069,,,
Mexico,MEX,2016,,,,0.07,,,
Mexico,MEX,2017,,,,0.062,,,
Mexico,MEX,2018,,,,0.046,,,
Mexico,MEX,2019,,,,0.064,,,
Spain,ESP,2010,,,0.2891,0.104,,,
Spain,ESP,2011,,,0.2072,0.101,,,
Spain,ESP,2012,,,0.172,0.09,,,
Spain,ESP,2013,,,0.1353,0.09,,,
Spain,ESP,2014,,,0.134,0.077,,,
Spain,ESP,2015,,,0.0799,0.066,,,
Spain,ESP,2019,,,0.0561,0.051,,,
Spain,ESP,1990,,,,0.177,,,
Spain,ESP,1991,,,,0.176,,,
Spain,ESP,1992,,,,0.159,,,
Spain,ESP,1993,,,,0.156,,,
Spain,ESP,1994,,,,0.147,,,
Spain,ESP,1995,,,,0.14,,,
Spain,ESP,1996,,,,0.137,,,
Spain,ESP,1997,,,,0.134,,,
Spain,ESP,1998,,,,0.12,,,
Spain,ESP,1999,,,,0.113,,,
Spain,ESP,2000,,,,0.116,,,
Spain,ESP,2001,,,,0.112,,,
Spain,ESP,2002,,,,0.106,,,
Spain,ESP,2003,,,,0.103,,,
Spain,ESP,2004,,,,0.111,,,
Spain,ESP,2005,,,,0.106,,,
Spain,ESP,2006,,,,0.109,,,
Spain,ESP,2007,,,,0.124,,,
Spain,ESP,2008,,,,0.102,,,
Spain,ESP,2009,,,,0.101,,,
Spain,ESP,2016,,,,0.064,,,
Spain,ESP,2017,,,,0.067,,,
Spain,ESP,2018,,,,0.095,,,
Sweden,SWE,1984,,,,0.241,,,
Sweden,SWE,1990,,,,0.212,,,
Sweden,SWE,1991,,,,0.203,,,
Sweden,SWE,1992,,,,0.205,,,
Sweden,SWE,1993,,,,0.2,,,
Sweden,SWE,1994,,,,0.188,,,
Sweden,SWE,1995,,,,0.178,,,
Sweden,SWE,1996,,,,0.181,,,
Sweden,SWE,1997,,,,0.17,,,
Sweden,SWE,1998,,,,0.158,,,
Sweden,SWE,1999,,,,0.151,,,
Sweden,SWE,2001,,,,0.125,,,
Sweden,SWE,2002,,,,0.138,,,
Sweden,SWE,2003,,,,0.109,,,
Sweden,SWE,2004,,,,0.122,,,
Sweden,SWE,2005,,,,0.124,,,
Sweden,SWE,2006,,,,0.124,,,
Sweden,SWE,2007,,,,0.115,,,
Sweden,SWE,2008,,,,0.11,,,
Sweden,SWE,2009,,,,0.103,,,
Sweden,SWE,2010,,,,0.093,,,
Sweden,SWE,2011,,,,0.089,,,
Sweden,SWE,2012,,,,0.091,,,
Sweden,SWE,2013,,,,0.076,,,
Sweden,SWE,2014,,,,0.084,,,
Sweden,SWE,2015,,,,0.075,,,
Sweden,SWE,2016,,,,0.066,,,
Sweden,SWE,2017,,,,0.06,,,
Sweden,SWE,2018,,,,0.045,,,
Sweden,SWE,2019,,,,0.046,,,
Turkey,TUR,2016,,,0.1126,0.065,,,
Turkey,TUR,2017,,,0.1072,0.059,,,
Turkey,TUR,2018,,,0.0854,0.066,,,
Turkey,TUR,2019,,,0.0776,0.063,,,
Turkey,TUR,1998,,,,0.089,,,
Turkey,TUR,2000,,,,0.084,,,
Turkey,TUR,2009,,,,0.054,,,
Turkey,TUR,2010,,,,0.106,,,
Turkey,TUR,2011,,,,0.08,,,
Turkey,TUR,2012,,,,0.069,,,
Turkey,TUR,2013,,,,0.072,,,
Turkey,TUR,2014,,,,0.079,,,
Turkey,TUR,2015,,,,0.071,,,
United Kingdom,GBR,2010,,,0.4735,0.086,,,
United Kingdom,GBR,2011,,,0.4554,0.092,,,
United Kingdom,GBR,2012,,,0.2789,0.086,,,
United Kingdom,GBR,2013,,,0.235,0.089,,,
United Kingdom,GBR,2014,,,0.2,0.087,,,
United Kingdom,GBR,2015,,,0.1618,0.084,,,
United Kingdom,GBR,2016,,,0.1596,0.076,,,
United Kingdom,GBR,2017,,,0.1356,0.076,,,
United Kingdom,GBR,2018,,,0.1448,0.057,,,
United Kingdom,GBR,2019,,,0.111,0.071,,,
United Kingdom,GBR,1989,,,,0.21,,,
United Kingdom,GBR,1990,,,,0.212,,,
United Kingdom,GBR,1991,,,,0.203,,,
United Kingdom,GBR,1992,,,,0.205,,,
United Kingdom,GBR,1993,,,,0.188,,,
United Kingdom,GBR,1994,,,,0.188,,,
United Kingdom,GBR,1995,,,,0.178,,,
United Kingdom,GBR,1996,,,,0.181,,,
United Kingdom,GBR,1997,,,,0.17,,,
United Kingdom,GBR,1998,,,,0.158,,,
United Kingdom,GBR,1999,,,,0.151,,,
United Kingdom,GBR,2000,,,,0.108,,,
United Kingdom,GBR,2001,,,,0.121,,,
United Kingdom,GBR,2002,,,,0.122,,,
United Kingdom,GBR,2003,,,,0.126,,,
United Kingdom,GBR,2004,,,,0.136,,,
United Kingdom,GBR,2005,,,,0.126,,,
United Kingdom,GBR,2006,,,,0.126,,,
United Kingdom,GBR,2007,,,,0.121,,,
United Kingdom,GBR,2008,,,,0.112,,,
United Kingdom,GBR,2009,,,,0.061,,,
United States,USA,2010,,,0.2015,0.085,,,
United States,USA,2011,,,0.2417,0.092,,,
United States,USA,2012,,,0.2123,0.081,,,
United States,USA,2013,,,0.2161,0.069,,,
United States,USA,2014,,,0.1514,0.06,,,
United States,USA,2015,,,0.1436,0.058,,,
United States,USA,2016,,,0.1336,0.056,,,
United States,USA,2017,,,0.0993,0.051,,,
United States,USA,2018,,,0.0789,0.048,,,
United States,USA,2019,,,0.0677,0.046,,,
United States,USA,1984,,,,0.297,,,
United States,USA,1985,,,,0.28,,,
United States,USA,1986,,,,0.253,,,
United States,USA,1987,,,,0.247,,,
United States,USA,1988,,,,0.19,,,
United States,USA,1989,,,,0.177,,,
United States,USA,1990,,,,0.196,,,
United States,USA,1991,,,,0.19,,,
United States,USA,1998,,,,0.105,,,
United States,USA,1999,,,,0.1,,,
United States,USA,2000,,,,0.088,,,
United States,USA,2001,,,,0.084,,,
United States,USA,2002,,,,0.08,,,
United States,USA,2003,,,,0.071,,,
United States,USA,2004,,,,0.08,,,
United States,USA,2005,,,,0.07,,,
United States,USA,2006,,,,0.077,,,
United States,USA,2007,,,,0.079,,,
United States,USA,2008,,,,0.079,,,
United States,USA,2009,,,,0.09,,,
World,OWID_WRL,2010,0.3462,0.03710250231851924,0.3783,0.086,0.07559718349675376,0.04878569090083654,0.161
World,OWID_WRL,2011,0.3484,0.03559377434312009,0.2863,0.083,0.055425239011175804,,0.175
World,OWID_WRL,2012,0.3525,0.037753162269088134,0.2225,0.083,0.060869469181784,0.08453562190473628,0.154
World,OWID_WRL,2013,0.2681,0.04292551166774962,0.1751,0.082,0.08126226365586138,0.061515344857988645,0.177
World,OWID_WRL,2014,0.2432,0.04393163332271594,0.1636,0.076,0.08206903814123939,0.06359141178341529,0.183
World,OWID_WRL,2015,0.2508,0.039014386702123996,0.1264,0.069,0.07302840095362431,0.06010677428216925,0.169
World,OWID_WRL,2016,0.2903,0.052219658308672416,0.1139,0.066,0.07193237790493871,0.06995145676615434,0.146
World,OWID_WRL,2017,0.2533,0.05502518559302912,0.0924,0.064,0.07243243817071289,0.0741089584057715,0.131
World,OWID_WRL,2018,0.1844,0.04451449985147808,0.0787,0.058,0.05663207679790451,0.07028165624057425,0.127
World,OWID_WRL,2019,0.1823,0.04728663933473439,0.0684,0.053,0.06564670751673521,0.07186047150420374,0.115
World,OWID_WRL,1983,,,,0.308,,,
World,OWID_WRL,1984,,,,0.294,,,
World,OWID_WRL,1985,,,,0.276,,,
World,OWID_WRL,1986,,,,0.247,,,
World,OWID_WRL,1987,,,,0.24,,,
World,OWID_WRL,1988,,,,0.201,,,
World,OWID_WRL,1989,,,,0.187,,,
World,OWID_WRL,1990,,,,0.204,,,
World,OWID_WRL,1991,,,,0.196,,,
World,OWID_WRL,1992,,,,0.193,,,
World,OWID_WRL,1993,,,,0.199,,,
World,OWID_WRL,1994,,,,0.193,,,
World,OWID_WRL,1995,,,,0.196,,,
World,OWID_WRL,1996,,,,0.178,,,
World,OWID_WRL,1997,,,,0.157,,,
World,OWID_WRL,1998,,,,0.139,,,
World,OWID_WRL,1999,,,,0.134,,,
World,OWID_WRL,2000,,,,0.142,,,0.121
World,OWID_WRL,2001,,,,0.126,,,0.12
World,OWID_WRL,2002,,,,0.119,,,0.117
World,OWID_WRL,2003,,,,0.106,,,0.103
World,OWID_WRL,2004,,,,0.111,,,0.135
World,OWID_WRL,2005,,,,0.104,,,0.105
World,OWID_WRL,2006,,,,0.105,,,0.108
World,OWID_WRL,2007,,,,0.098,,0.04849787582323612,0.178
World,OWID_WRL,2008,,,,0.088,,0.04265289305772,0.178
World,OWID_WRL,2009,,,,0.087,,0.07262378736861327,0.157
