"color","opening_name","n","avg_points","gracz","rodzaj"
"black","Trompowsky Attack",1,1,"grooney","blitz"
"white","Borg Defense",1,1,"grooney","blitz"
"white","Czech Defense",1,1,"grooney","blitz"
"white","Duras Gambit",1,1,"grooney","blitz"
"white","Englund Gambit Complex",1,1,"grooney","blitz"
"white","Horwitz Defense",1,0,"grooney","blitz"
"white","Italian Game",1,0.5,"grooney","blitz"
"white","Mikenas Defense",1,0,"grooney","blitz"
"white","Nimzo-Indian Defense",1,1,"grooney","blitz"
"white","Old Indian Defense",1,0,"grooney","blitz"
"white","Pterodactyl Defense",1,0,"grooney","blitz"
"white","Queen's Gambit Accepted",1,1,"grooney","blitz"
"white","Queen's Indian Defense",1,0,"grooney","blitz"
"white","Zukertort Opening",1,0,"grooney","blitz"
"white","Sicilian Defense",163,0.5,"Mlodziak77","blitz"
"black","Russian Game",146,0.571917808219178,"Mlodziak77","blitz"
"black","Indian Defense",86,0.494186046511628,"Mlodziak77","blitz"
"white","Four Knights Game",77,0.590909090909091,"Mlodziak77","blitz"
"white","French Defense",69,0.442028985507246,"Mlodziak77","blitz"
"white","Three Knights Opening",68,0.558823529411765,"Mlodziak77","blitz"
"black","Four Knights Game",60,0.45,"Mlodziak77","blitz"
"white","Caro-Kann Defense",46,0.478260869565217,"Mlodziak77","blitz"
"white","Zukertort Opening",46,0.467391304347826,"Mlodziak77","blitz"
"black","Italian Game",45,0.5,"Mlodziak77","blitz"
"black","Queen's Pawn Game",41,0.560975609756098,"Mlodziak77","blitz"
"black","King's Gambit Declined",35,0.6,"Mlodziak77","blitz"
"black","English Opening",27,0.481481481481481,"Mlodziak77","blitz"
"black","Queen's Gambit Declined",23,0.456521739130435,"Mlodziak77","blitz"
"white","Philidor Defense",23,0.717391304347826,"Mlodziak77","blitz"
"white","Modern Defense",21,0.476190476190476,"Mlodziak77","blitz"
"black","Bishop's Opening",19,0.421052631578947,"Mlodziak77","blitz"
"black","Scandinavian Defense",19,0.447368421052632,"Mlodziak77","blitz"
"white","Ruy Lopez",19,0.763157894736842,"Mlodziak77","blitz"
"white","Scandinavian Defense",19,0.526315789473684,"Mlodziak77","blitz"
"white","Russian Game",14,0.714285714285714,"Mlodziak77","blitz"
"black","Vienna Game",13,0.461538461538462,"Mlodziak77","blitz"
"black","King's Pawn Game",12,0.708333333333333,"Mlodziak77","blitz"
"black","Center Game",9,0.333333333333333,"Mlodziak77","blitz"
"white","Pirc Defense",9,0.222222222222222,"Mlodziak77","blitz"
"white","Rat Defense",9,0.555555555555556,"Mlodziak77","blitz"
"black","Nimzo-Larsen Attack",8,0.4375,"Mlodziak77","blitz"
"black","Scotch Game",8,0.5,"Mlodziak77","blitz"
"white","Queen's Pawn Game",8,0.375,"Mlodziak77","blitz"
"black","Danish Gambit",7,0.428571428571429,"Mlodziak77","blitz"
"white","Elephant Gambit",7,0.714285714285714,"Mlodziak77","blitz"
"white","King's Indian Defense",7,0.642857142857143,"Mlodziak77","blitz"
"black","King's Gambit Accepted",6,0.833333333333333,"Mlodziak77","blitz"
"black","Ponziani Opening",6,0.5,"Mlodziak77","blitz"
"white","Indian Defense",5,0.4,"Mlodziak77","blitz"
"white","Nimzowitsch Defense",5,0.2,"Mlodziak77","blitz"
"white","Owen Defense",5,0.7,"Mlodziak77","blitz"
"black","Bird Opening",4,0.75,"Mlodziak77","blitz"
"black","Ruy Lopez",4,0.5,"Mlodziak77","blitz"
"white","King's Pawn Game",4,0.75,"Mlodziak77","blitz"
"black","Alekhine Defense",3,0.333333333333333,"Mlodziak77","blitz"
"black","King's Gambit",3,0.333333333333333,"Mlodziak77","blitz"
"black","King's Indian Attack",3,0,"Mlodziak77","blitz"
"black","King's Indian Defense",3,0.333333333333333,"Mlodziak77","blitz"
"black","Polish Opening",3,0.333333333333333,"Mlodziak77","blitz"
"black","Van't Kruijs Opening",3,0.333333333333333,"Mlodziak77","blitz"
"black","Zukertort Opening",3,0,"Mlodziak77","blitz"
"white","Englund Gambit Complex",3,0.333333333333333,"Mlodziak77","blitz"
"white","Queen's Gambit Declined",3,0,"Mlodziak77","blitz"
"black","Englund Gambit",2,0.5,"Mlodziak77","blitz"
"black","French Defense",2,0.25,"Mlodziak77","blitz"
"black","Grob Opening",2,0.5,"Mlodziak77","blitz"
"black","Hungarian Opening",2,0.5,"Mlodziak77","blitz"
"black","London System",2,1,"Mlodziak77","blitz"
"black","Modern Defense",2,0.25,"Mlodziak77","blitz"
"black","Rapport-Jobava System",2,0,"Mlodziak77","blitz"
"black","Trompowsky Attack",2,1,"Mlodziak77","blitz"
"white","Alekhine Defense",2,0,"Mlodziak77","blitz"
"white","Benoni Defense",2,1,"Mlodziak77","blitz"
"white","Van't Kruijs Opening",2,0,"Mlodziak77","blitz"
"black","Blackmar-Diemer Gambit",1,0,"Mlodziak77","blitz"
"black","Blumenfeld Countergambit",1,1,"Mlodziak77","blitz"
"black","Caro-Kann Defense",1,1,"Mlodziak77","blitz"
"black","Center Game Accepted",1,1,"Mlodziak77","blitz"
"black","Crab Opening",1,1,"Mlodziak77","blitz"
"black","Danish Gambit Accepted",1,0,"Mlodziak77","blitz"
"black","Danish Gambit Declined",1,0,"Mlodziak77","blitz"
"black","Dutch Defense",1,0,"Mlodziak77","blitz"
"black","Englund Gambit Complex",1,1,"Mlodziak77","blitz"
"black","Englund Gambit Declined",1,0,"Mlodziak77","blitz"
"black","King's Pawn",1,0,"Mlodziak77","blitz"
"black","King's Pawn Opening",1,0,"Mlodziak77","blitz"
"black","Paleface Attack",1,1,"Mlodziak77","blitz"
"black","Pirc Defense",1,0,"Mlodziak77","blitz"
"black","Polish Defense",1,1,"Mlodziak77","blitz"
"black","Portuguese Opening",1,1,"Mlodziak77","blitz"
"black","Queen's Gambit Accepted",1,0,"Mlodziak77","blitz"
"black","Richter-Veresov Attack",1,0,"Mlodziak77","blitz"
"black","Saragossa Opening",1,0,"Mlodziak77","blitz"
"black","Sicilian Defense",1,0,"Mlodziak77","blitz"
"black","Van Geet Opening",1,0.5,"Mlodziak77","blitz"
"white","Danish Gambit",1,1,"Mlodziak77","blitz"
"white","Duras Gambit",1,0,"Mlodziak77","blitz"
"white","English Opening",1,1,"Mlodziak77","blitz"
"white","Gedult's Opening",1,1,"Mlodziak77","blitz"
"white","GrĂĽnfeld Defense",1,0,"Mlodziak77","blitz"
"white","Gunderam Defense",1,1,"Mlodziak77","blitz"
"white","Hungarian Opening",1,1,"Mlodziak77","blitz"
"white","King's Gambit Accepted",1,0,"Mlodziak77","blitz"
"white","King's Gambit Declined",1,0,"Mlodziak77","blitz"
"white","King's Indian Attack",1,0,"Mlodziak77","blitz"
"white","Nimzowitsch Defense, Declined Variation",1,1,"Mlodziak77","blitz"
"white","Polish Opening",1,0,"Mlodziak77","blitz"
"white","Queen's Gambit Accepted",1,0,"Mlodziak77","blitz"
"white","Semi-Slav Defense",1,1,"Mlodziak77","blitz"
"white","Slav Defense",1,0,"Mlodziak77","blitz"
"white","St. George Defense",1,1,"Mlodziak77","blitz"
"white","Tarrasch Defense",1,1,"Mlodziak77","blitz"
"white","Sicilian Defense",39,0.576923076923077,"grooney","rapid"
"black","Sicilian Defense",32,0.703125,"grooney","rapid"
"white","Ruy Lopez",28,0.678571428571429,"grooney","rapid"
"black","Caro-Kann Defense",20,0.85,"grooney","rapid"
"black","Queen's Pawn Game",13,0.538461538461538,"grooney","rapid"
"black","Queen's Gambit Declined",11,0.363636363636364,"grooney","rapid"
"white","French Defense",10,0.3,"grooney","rapid"
"white","Caro-Kann Defense",8,0.625,"grooney","rapid"
"black","English Opening",7,0.428571428571429,"grooney","rapid"
"white","Pirc Defense",6,0.75,"grooney","rapid"
"white","Scandinavian Defense",6,1,"grooney","rapid"
"white","Modern Defense",5,0.8,"grooney","rapid"
"black","Italian Game",4,0.625,"grooney","rapid"
"black","Scotch Game",4,1,"grooney","rapid"
"white","Philidor Defense",4,0.5,"grooney","rapid"
"black","Bird Opening",3,0.333333333333333,"grooney","rapid"
"black","Ruy Lopez",3,0.333333333333333,"grooney","rapid"
"white","Nimzowitsch Defense",3,1,"grooney","rapid"
"black","French Defense",2,0.5,"grooney","rapid"
"black","Nimzo-Indian Defense",2,0.5,"grooney","rapid"
"black","Van Geet Opening",2,0.25,"grooney","rapid"
"white","Bishop's Opening",2,1,"grooney","rapid"
"white","King's Pawn Game",2,1,"grooney","rapid"
"black","Bishop's Opening",1,1,"grooney","rapid"
"black","Four Knights Game",1,1,"grooney","rapid"
"black","King's Gambit Accepted",1,0,"grooney","rapid"
"black","King's Pawn Game",1,0,"grooney","rapid"
"black","Philidor Defense",1,1,"grooney","rapid"
"black","Rapport-Jobava System",1,1,"grooney","rapid"
"black","Rubinstein Opening",1,1,"grooney","rapid"
"black","Slav Defense",1,1,"grooney","rapid"
"black","Van't Kruijs Opening",1,0.5,"grooney","rapid"
"black","Ware Opening",1,1,"grooney","rapid"
"white","English Opening",1,1,"grooney","rapid"
"white","Four Knights Game",1,0,"grooney","rapid"
"white","Guatemala Defense",1,1,"grooney","rapid"
"white","King's Knight Opening",1,1,"grooney","rapid"
"white","Owen Defense",1,1,"grooney","rapid"
"white","Polish Defense",1,1,"grooney","rapid"
"white","Rat Defense",1,1,"grooney","rapid"
"white","Russian Game",1,1,"grooney","rapid"
"white","Scotch Game",1,0,"grooney","rapid"
"white","Van't Kruijs Opening",1,1,"grooney","rapid"
"black","Russian Game",28,0.517857142857143,"Mlodziak77","rapid"
"white","Three Knights Opening",23,0.673913043478261,"Mlodziak77","rapid"
"white","Sicilian Defense",21,0.761904761904762,"Mlodziak77","rapid"
"black","Indian Defense",16,0.46875,"Mlodziak77","rapid"
"white","Ruy Lopez",13,0.615384615384615,"Mlodziak77","rapid"
"black","Four Knights Game",10,0.6,"Mlodziak77","rapid"
"black","Italian Game",10,0.4,"Mlodziak77","rapid"
"white","Philidor Defense",10,0.7,"Mlodziak77","rapid"
"white","Four Knights Game",9,0.555555555555556,"Mlodziak77","rapid"
"white","French Defense",9,0.777777777777778,"Mlodziak77","rapid"
"white","Russian Game",8,0.625,"Mlodziak77","rapid"
"black","Queen's Pawn Game",7,0.714285714285714,"Mlodziak77","rapid"
"white","Caro-Kann Defense",6,0.833333333333333,"Mlodziak77","rapid"
"black","King's Gambit Declined",5,0.5,"Mlodziak77","rapid"
"black","English Opening",4,0.75,"Mlodziak77","rapid"
"black","King's Pawn Game",4,0.75,"Mlodziak77","rapid"
"black","Scandinavian Defense",4,0,"Mlodziak77","rapid"
"white","Scandinavian Defense",4,0.25,"Mlodziak77","rapid"
"black","Nimzo-Larsen Attack",3,0.333333333333333,"Mlodziak77","rapid"
"black","Sicilian Defense",3,0.666666666666667,"Mlodziak77","rapid"
"white","King's Gambit Accepted",3,0.333333333333333,"Mlodziak77","rapid"
"black","Bishop's Opening",2,0.5,"Mlodziak77","rapid"
"black","Center Game",2,1,"Mlodziak77","rapid"
"black","Hungarian Opening",2,0.25,"Mlodziak77","rapid"
"black","London System",2,0.5,"Mlodziak77","rapid"
"black","Vienna Game",2,1,"Mlodziak77","rapid"
"white","King's Pawn Game",2,0.5,"Mlodziak77","rapid"
"white","St. George Defense",2,0,"Mlodziak77","rapid"
"white","Zukertort Opening",2,0.5,"Mlodziak77","rapid"
"black","Bird Opening",1,1,"Mlodziak77","rapid"
"black","Caro-Kann Defense",1,0,"Mlodziak77","rapid"
"black","Danish Gambit",1,1,"Mlodziak77","rapid"
"black","French Defense",1,1,"Mlodziak77","rapid"
"black","King's Gambit Accepted",1,1,"Mlodziak77","rapid"
"black","King's Indian Attack",1,1,"Mlodziak77","rapid"
"black","Mieses Opening",1,1,"Mlodziak77","rapid"
"black","Nimzowitsch Defense",1,0,"Mlodziak77","rapid"
"black","Polish Opening",1,0,"Mlodziak77","rapid"
"black","Ponziani Opening",1,1,"Mlodziak77","rapid"
"black","Queen's Gambit Declined",1,0,"Mlodziak77","rapid"
"black","Ruy Lopez",1,0,"Mlodziak77","rapid"
"black","Slav Defense",1,1,"Mlodziak77","rapid"
"black","Trompowsky Attack",1,1,"Mlodziak77","rapid"
"black","Van't Kruijs Opening",1,0,"Mlodziak77","rapid"
"white","Danish Gambit Accepted",1,0,"Mlodziak77","rapid"
"white","Modern Defense",1,1,"Mlodziak77","rapid"
"white","Owen Defense",1,0,"Mlodziak77","rapid"
"white","Sicilian Defense",827,0.504232164449819,"grooney","bullet"
"black","Caro-Kann Defense",622,0.507234726688103,"grooney","bullet"
"black","Queen's Pawn Game",446,0.461883408071749,"grooney","bullet"
"white","French Defense",443,0.50451467268623,"grooney","bullet"
"white","Scandinavian Defense",324,0.479938271604938,"grooney","bullet"
"white","Caro-Kann Defense",304,0.549342105263158,"grooney","bullet"
"black","Queen's Gambit Declined",302,0.475165562913907,"grooney","bullet"
"white","Ruy Lopez",292,0.525684931506849,"grooney","bullet"
"white","Modern Defense",208,0.536057692307692,"grooney","bullet"
"black","French Defense",187,0.435828877005348,"grooney","bullet"
"black","English Opening",164,0.435975609756098,"grooney","bullet"
"white","Alekhine Defense",159,0.528301886792453,"grooney","bullet"
"white","Zukertort Opening",157,0.468152866242038,"grooney","bullet"
"white","Pirc Defense",143,0.506993006993007,"grooney","bullet"
"black","Italian Game",139,0.460431654676259,"grooney","bullet"
"black","Nimzo-Larsen Attack",131,0.480916030534351,"grooney","bullet"
"black","Ruy Lopez",113,0.429203539823009,"grooney","bullet"
"black","Scotch Game",109,0.55045871559633,"grooney","bullet"
"black","Hungarian Opening",96,0.432291666666667,"grooney","bullet"
"black","Zukertort Opening",93,0.456989247311828,"grooney","bullet"
"black","Four Knights Game",90,0.505555555555556,"grooney","bullet"
"black","Slav Defense",82,0.457317073170732,"grooney","bullet"
"white","Owen Defense",75,0.566666666666667,"grooney","bullet"
"black","Van't Kruijs Opening",71,0.556338028169014,"grooney","bullet"
"white","Russian Game",66,0.621212121212121,"grooney","bullet"
"black","Dutch Defense",65,0.484615384615385,"grooney","bullet"
"black","King's Indian Attack",63,0.412698412698413,"grooney","bullet"
"white","King's Pawn Game",59,0.576271186440678,"grooney","bullet"
"black","Vienna Game",57,0.456140350877193,"grooney","bullet"
"white","Philidor Defense",54,0.611111111111111,"grooney","bullet"
"black","Nimzowitsch Defense",49,0.540816326530612,"grooney","bullet"
"black","Sicilian Defense",49,0.561224489795918,"grooney","bullet"
"black","Bird Opening",48,0.395833333333333,"grooney","bullet"
"black","Mieses Opening",45,0.566666666666667,"grooney","bullet"
"white","Nimzowitsch Defense",39,0.448717948717949,"grooney","bullet"
"black","King's Gambit Accepted",38,0.5,"grooney","bullet"
"black","King's Pawn Game",30,0.583333333333333,"grooney","bullet"
"white","Queen's Pawn Game",29,0.568965517241379,"grooney","bullet"
"black","Van Geet Opening",27,0.5,"grooney","bullet"
"black","King's Indian Defense",25,0.44,"grooney","bullet"
"black","Polish Opening",25,0.38,"grooney","bullet"
"black","Bishop's Opening",23,0.391304347826087,"grooney","bullet"
"white","Scotch Game",22,0.659090909090909,"grooney","bullet"
"black","Horwitz Defense",20,0.4,"grooney","bullet"
"white","Benoni Defense",20,0.425,"grooney","bullet"
"white","Elephant Gambit",20,0.525,"grooney","bullet"
"white","Queen's Gambit Declined",20,0.6,"grooney","bullet"
"white","Rat Defense",20,0.5,"grooney","bullet"
"black","Nimzo-Indian Defense",18,0.416666666666667,"grooney","bullet"
"white","Latvian Gambit Accepted",18,0.555555555555556,"grooney","bullet"
"black","Scandinavian Defense",17,0.205882352941176,"grooney","bullet"
"black","Semi-Slav Defense",15,0.666666666666667,"grooney","bullet"
"black","Englund Gambit Declined",14,0.571428571428571,"grooney","bullet"
"black","GrĂĽnfeld Defense",14,0.535714285714286,"grooney","bullet"
"black","Saragossa Opening",13,0.461538461538462,"grooney","bullet"
"white","St. George Defense",13,0.538461538461538,"grooney","bullet"
"black","Catalan Opening",12,0.458333333333333,"grooney","bullet"
"black","Grob Opening",12,0.5,"grooney","bullet"
"black","Indian Defense",12,0.458333333333333,"grooney","bullet"
"white","Four Knights Game",11,0.727272727272727,"grooney","bullet"
"white","Slav Defense",11,0.818181818181818,"grooney","bullet"
"white","King's Indian Defense",10,0.45,"grooney","bullet"
"black","Blackmar-Diemer Gambit Declined",9,0.5,"grooney","bullet"
"black","Gedult's Opening",9,0.666666666666667,"grooney","bullet"
"black","Ponziani Opening",9,0.555555555555556,"grooney","bullet"
"white","Catalan Opening",9,0.777777777777778,"grooney","bullet"
"white","Van't Kruijs Opening",9,0.5,"grooney","bullet"
"black","Rubinstein Opening",7,0.5,"grooney","bullet"
"white","Italian Game",7,0.428571428571429,"grooney","bullet"
"black","King's Knight Opening",6,0.833333333333333,"grooney","bullet"
"black","Old Indian Defense",6,0.5,"grooney","bullet"
"black","Three Knights Opening",6,0.166666666666667,"grooney","bullet"
"white","Nimzowitsch Defense, Declined Variation",6,0.666666666666667,"grooney","bullet"
"white","Semi-Slav Defense",6,0.583333333333333,"grooney","bullet"
"black","Danish Gambit",5,0.4,"grooney","bullet"
"black","Neo-GrĂĽnfeld Defense",5,0.4,"grooney","bullet"
"black","Queen's Gambit Accepted",5,0.2,"grooney","bullet"
"white","Guatemala Defense",5,0.8,"grooney","bullet"
"white","Indian Defense",5,0.4,"grooney","bullet"
"black","Philidor Defense",4,0.625,"grooney","bullet"
"black","Torre Attack",4,1,"grooney","bullet"
"black","Valencia Opening",4,0.25,"grooney","bullet"
"white","Barnes Defense",4,0.5,"grooney","bullet"
"white","Center Game",4,0.5,"grooney","bullet"
"white","Czech Defense",4,0.5,"grooney","bullet"
"white","Duras Gambit",4,0.75,"grooney","bullet"
"white","English Defense",4,0.25,"grooney","bullet"
"white","Goldsmith Defense",4,0.75,"grooney","bullet"
"white","Queen's Gambit Accepted",4,0.5,"grooney","bullet"
"black","Anderssen's Opening",3,0.333333333333333,"grooney","bullet"
"black","Barnes Opening",3,0.666666666666667,"grooney","bullet"
"black","Giuoco Piano",3,0.666666666666667,"grooney","bullet"
"black","Kadas Opening",3,0.666666666666667,"grooney","bullet"
"black","King's Gambit Declined",3,0.333333333333333,"grooney","bullet"
"black","Ware Opening",3,0.666666666666667,"grooney","bullet"
"white","Borg Defense",3,1,"grooney","bullet"
"white","English Opening",3,1,"grooney","bullet"
"white","Nimzo-Indian Defense",3,0.666666666666667,"grooney","bullet"
"white","Old Indian Defense",3,0.5,"grooney","bullet"
"black","Alekhine Defense",2,0,"grooney","bullet"
"black","Canard Opening",2,0.5,"grooney","bullet"
"black","Clemenz Opening",2,1,"grooney","bullet"
"black","East Indian Defense",2,0,"grooney","bullet"
"black","Pirc Defense",2,0.5,"grooney","bullet"
"black","Rat Defense",2,0.75,"grooney","bullet"
"white","Bongcloud Attack",2,1,"grooney","bullet"
"white","Englund Gambit",2,1,"grooney","bullet"
"white","Englund Gambit Declined",2,1,"grooney","bullet"
"white","Horwitz Defense",2,0.75,"grooney","bullet"
"white","King's Knight Opening",2,0,"grooney","bullet"
"white","King's Pawn",2,0,"grooney","bullet"
"white","Latvian Gambit",2,0.5,"grooney","bullet"
"white","Pterodactyl Defense",2,1,"grooney","bullet"
"white","Queen's Indian Defense",2,0.75,"grooney","bullet"
"white","Vienna Game",2,0.5,"grooney","bullet"
"white","Ware Defense",2,1,"grooney","bullet"
"black","Amazon Attack",1,1,"grooney","bullet"
"black","Benoni Defense",1,1,"grooney","bullet"
"black","Bronstein Gambit",1,1,"grooney","bullet"
"black","Center Game",1,1,"grooney","bullet"
"black","Crab Opening",1,1,"grooney","bullet"
"black","English Defense",1,1,"grooney","bullet"
"black","London System",1,0,"grooney","bullet"
"black","Owen Defense",1,0,"grooney","bullet"
"black","Richter-Veresov Attack",1,0,"grooney","bullet"
"black","Russian Game",1,1,"grooney","bullet"
"black","Sodium Attack",1,0,"grooney","bullet"
"black","Trompowsky Attack",1,0,"grooney","bullet"
"white","Benko Gambit",1,0,"grooney","bullet"
"white","Benko Gambit Accepted",1,0,"grooney","bullet"
"white","Bishop's Opening",1,0,"grooney","bullet"
"white","Blackmar-Diemer Gambit",1,1,"grooney","bullet"
"white","Blackmar-Diemer Gambit Declined",1,0,"grooney","bullet"
"white","Blumenfeld Countergambit",1,1,"grooney","bullet"
"white","Carr Defense",1,1,"grooney","bullet"
"white","Dutch Defense",1,0.5,"grooney","bullet"
"white","Gedult's Opening",1,0,"grooney","bullet"
"white","Giuoco Piano",1,0,"grooney","bullet"
"white","Gunderam Defense",1,1,"grooney","bullet"
