TIME,GEO,UNIT,MOT_NRG,Value,Flag and Footnotes
2014,Liechtenstein,Number,Total,"28,470",
2014,Norway,Number,Total,"2,555,443",
2014,Switzerland,Number,Total,"4,384,000",
2014,United Kingdom,Number,Total,:,
2014,North Macedonia,Number,Total,"371,449",
2014,Turkey,Number,Total,"9,857,915",
2014,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,:,
2015,Belgium,Number,Total,"5,623,579",
2015,Bulgaria,Number,Total,"3,162,037",
2015,Czechia,Number,Total,"5,115,316",
2015,Denmark,Number,Total,"2,390,823",
2015,Germany (until 1990 former territory of the FRG),Number,Total,"45,071,000",
2015,Estonia,Number,Total,"676,596",
2015,Ireland,Number,Total,"2,060,170",
2015,Greece,Number,Total,"5,107,620",
2015,Spain,Number,Total,"22,355,549",d
2015,France,Number,Total,"32,326,000",
2015,Croatia,Number,Total,"1,499,802",
2015,Italy,Number,Total,"37,351,233",
2015,Cyprus,Number,Total,"487,692",
2015,Latvia,Number,Total,"679,048",
2015,Lithuania,Number,Total,"1,244,063",
2015,Luxembourg,Number,Total,"381,103",
2015,Hungary,Number,Total,"3,196,856",
2015,Malta,Number,Total,"275,380",
2015,Netherlands,Number,Total,"8,100,864",
2015,Austria,Number,Total,"4,748,048",
2015,Poland,Number,Total,"20,723,423",
2015,Portugal,Number,Total,"4,722,963",
2015,Romania,Number,Total,"5,155,059",
2015,Slovenia,Number,Total,"1,078,737",
2015,Slovakia,Number,Total,"2,034,574",
2015,Finland,Number,Total,"3,234,860",
2015,Sweden,Number,Total,"4,668,262",
2015,Liechtenstein,Number,Total,"28,802",
2015,Norway,Number,Total,"2,610,000",
2015,Switzerland,Number,Total,"4,458,000",
2015,United Kingdom,Number,Total,"30,250,294",d
2015,North Macedonia,Number,Total,"383,833",
2015,Turkey,Number,Total,"10,589,337",
2015,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,:,
2016,Belgium,Number,Total,"5,712,061",
2016,Bulgaria,Number,Total,"3,143,568",
2016,Czechia,Number,Total,"5,307,808",d
2016,Denmark,Number,Total,"2,465,538",
2016,Germany (until 1990 former territory of the FRG),Number,Total,"45,803,560",
2016,Estonia,Number,Total,"703,151",
2016,Ireland,Number,Total,"2,102,720",
2016,Greece,Number,Total,"5,160,056",
2016,Spain,Number,Total,"22,876,830",
2016,France,Number,Total,"32,076,000",
2016,Croatia,Number,Total,"1,552,904",
2016,Italy,Number,Total,"37,876,138",
2016,Cyprus,Number,Total,"508,284",
2016,Latvia,Number,Total,"664,177",
2016,Lithuania,Number,Total,"1,298,737",
2016,Luxembourg,Number,Total,"390,935",
2016,Hungary,Number,Total,"3,313,206",
2016,Malta,Number,Total,"282,921",
2016,Netherlands,Number,Total,"8,222,974",
2016,Austria,Number,Total,"4,821,557",
2016,Poland,Number,Total,"21,675,388",
2016,Portugal,Number,Total,"4,850,229",
2016,Romania,Number,Total,"5,472,423",
2016,Slovenia,Number,Total,"1,096,523",
2016,Slovakia,Number,Total,"2,121,774",
2016,Finland,Number,Total,"3,322,672",
2016,Sweden,Number,Total,"4,767,262",
2016,Liechtenstein,Number,Total,"29,241",
2016,Norway,Number,Total,"2,662,910",
2016,Switzerland,Number,Total,"4,524,000",
2016,United Kingdom,Number,Total,"30,850,440",d
2016,North Macedonia,Number,Total,"394,934",
2016,Turkey,Number,Total,"11,317,998",
2016,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,:,
2017,Belgium,Number,Total,"5,785,447",
2017,Bulgaria,Number,Total,"2,770,615",
2017,Czechia,Number,Total,"5,538,222",
2017,Denmark,Number,Total,"2,530,047",
2017,Germany (until 1990 former territory of the FRG),Number,Total,"46,474,594",
2017,Estonia,Number,Total,"725,944",
2017,Ireland,Number,Total,"2,142,390",
2017,Greece,Number,Total,"5,235,928",
2017,Spain,Number,Total,"23,500,401",
2017,France,Number,Total,"32,005,986",
2017,Croatia,Number,Total,"1,596,087",
2017,Italy,Number,Total,:,
2017,Cyprus,Number,Total,"526,617",
2017,Latvia,Number,Total,"689,536",
2017,Lithuania,Number,Total,"1,356,987",
2017,Luxembourg,Number,Total,"403,282",
2017,Hungary,Number,Total,"3,471,997",
2017,Malta,Number,Total,"291,664",
2017,Netherlands,Number,Total,"8,373,244",
2017,Austria,Number,Total,"4,898,578",
2017,Poland,Number,Total,"22,503,579",
2017,Portugal,Number,Total,"5,059,472",
2017,Romania,Number,Total,"5,998,194",
2017,Slovenia,Number,Total,"1,117,935",
2017,Slovakia,Number,Total,"2,223,117",
2017,Finland,Number,Total,"3,398,937",
2017,Sweden,Number,Total,"4,844,823",
2017,Liechtenstein,Number,Total,"29,675",
2017,Norway,Number,Total,"2,719,396",
2017,Switzerland,Number,Total,"4,570,800",
2017,United Kingdom,Number,Total,"31,200,182",d
2017,North Macedonia,Number,Total,"403,316",
2017,Turkey,Number,Total,"12,035,978",
2017,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,"168,759",
2018,Belgium,Number,Total,"5,853,782",
2018,Bulgaria,Number,Total,"2,773,325",
2018,Czechia,Number,Total,"5,747,913",
2018,Denmark,Number,Total,"2,594,469",
2018,Germany (until 1990 former territory of the FRG),Number,Total,"47,095,784",
2018,Estonia,Number,Total,"746,464",
2018,Ireland,Number,Total,"2,182,920",
2018,Greece,Number,Total,"5,282,695",
2018,Spain,Number,Total,"24,074,151",d
2018,France,Number,Total,"32,034,000",d
2018,Croatia,Number,Total,"1,666,413",
2018,Italy,Number,Total,"39,018,170",
2018,Cyprus,Number,Total,"550,695",
2018,Latvia,Number,Total,"707,841",
2018,Lithuania,Number,Total,"1,430,520",
2018,Luxembourg,Number,Total,"415,145",
2018,Hungary,Number,Total,"3,641,823",
2018,Malta,Number,Total,"300,140",
2018,Netherlands,Number,Total,"8,530,584",
2018,Austria,Number,Total,"4,978,852",
2018,Poland,Number,Total,"23,429,016",
2018,Portugal,Number,Total,"5,282,970",
2018,Romania,Number,Total,"6,452,536",
2018,Slovenia,Number,Total,"1,143,150",
2018,Slovakia,Number,Total,"2,321,608",
2018,Finland,Number,Total,"3,470,507",
2018,Sweden,Number,Total,"4,869,979",
2018,Liechtenstein,Number,Total,"29,949",
2018,Norway,Number,Total,"2,751,949",
2018,Switzerland,Number,Total,"4,602,700",
2018,United Kingdom,Number,Total,"31,517,597",d
2018,North Macedonia,Number,Total,"415,062",
2018,Turkey,Number,Total,"12,398,190",
2018,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,"256,880",
2019,Belgium,Number,Total,"5,889,210",
2019,Bulgaria,Number,Total,"2,829,946",
2019,Czechia,Number,Total,"5,924,995",
2019,Denmark,Number,Total,"2,651,726",
2019,Germany,Number,Total,"47,715,977",
2019,Estonia,Number,Total,"794,926",
2019,Ireland,Number,Total,"2,253,210",
2019,Greece,Number,Total,"5,406,551",
2019,Spain,Number,Total,"24,558,126",
2019,France,Number,Total,"32,416,180",
2019,Croatia,Number,Total,"1,724,900",
2019,Italy,Number,Total,"39,545,232",
2019,Cyprus,Number,Total,"572,501",
2019,Latvia,Number,Total,"727,164",
2019,Lithuania,Number,Total,"1,498,688",
2019,Luxembourg,Number,Total,"426,346",
2019,Hungary,Number,Total,"3,812,013",
2019,Malta,Number,Total,"307,130",
2019,Netherlands,Number,Total,"8,677,911",
2019,Austria,Number,Total,:,
2019,Poland,Number,Total,"24,360,166",
2019,Portugal,Number,Total,"5,452,119",
2019,Romania,Number,Total,"6,902,984",
2019,Slovenia,Number,Total,"1,165,371",
2019,Slovakia,Number,Total,"2,393,577",
2019,Finland,Number,Total,"3,549,803",
2019,Sweden,Number,Total,"4,887,116",
2019,Liechtenstein,Number,Total,"30,249",
2019,Norway,Number,Total,"2,801,208",
2019,Switzerland,Number,Total,"4,624,000",
2019,United Kingdom,Number,Total,:,
2019,North Macedonia,Number,Total,"426,045",
2019,Turkey,Number,Total,"12,503,049",
2019,Kosovo,Number,Total,"309,509",
