"","Profile.Name","Start.Time","Duration","Attributes","Title","Supplemental.Video.Type","Device.Type","Bookmark","Latest.Bookmark","Country"
"36","Wojtek","2021-11-25 21:49:24","00:00:09","Autoplayed: user action: None; ","Villain / Antagonist Clip: Las leyes de la frontera","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:09","00:00:09","PL (Poland)"
"37","Wojtek","2021-11-22 22:20:52","00:24:26","","The Hater","","Netflix Windows App - Cadmium Windows Mobile","00:43:26","Not latest view","PL (Poland)"
"38","Wojtek","2021-11-21 18:13:59","00:19:01","","The Hater","","Netflix Opera Other","00:19:01","Not latest view","PL (Poland)"
"39","Wojtek","2021-11-21 18:13:49","00:00:07","Autoplayed: user action: None; ","The Hater_hook_01_16x9","HOOK","Netflix Opera Other","00:00:07","00:00:07","PL (Poland)"
"40","Wojtek","2021-11-21 18:12:37","00:00:10","Autoplayed: user action: None; ","Season 1 Moment of High Emotion Clip: Tear Along the Dotted Line","HOOK","Netflix Opera Other","00:00:10","00:00:10","PL (Poland)"
"41","Wojtek","2021-11-21 17:43:59","00:26:39","","The Campaign","","Netflix Opera Other","00:56:33","Not latest view","PL (Poland)"
"42","Wojtek","2021-11-21 17:43:39","00:00:10","Autoplayed: user action: None; ","Season 1 Cliffhanger Clip: Hellbound","HOOK","Netflix Opera Other","00:00:10","00:00:10","PL (Poland)"
"43","Wojtek","2021-11-19 22:24:14","01:32:03","","All My Friends Are Dead","","Netflix Opera Other","01:30:30","01:30:30","PL (Poland)"
"44","Wojtek","2021-11-19 22:24:01","00:00:06","Autoplayed: user action: None; ","Season 1 Teaser 3: Cowboy Bebop","TEASER_TRAILER","Netflix Opera Other","00:00:06","00:00:06","PL (Poland)"
"45","Wojtek","2021-11-19 22:16:54","00:00:09","Autoplayed: user action: None; ","Season 1 High Context Clip: Love never Lies","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:09","00:00:09","PL (Poland)"
"46","Wojtek","2021-11-19 09:19:19","00:04:23","","The Campaign","","Netflix Windows App - Cadmium Windows Mobile","00:28:53","Not latest view","PL (Poland)"
"47","Wojtek","2021-11-19 08:51:14","00:23:52","","The Campaign","","Netflix Windows App - Cadmium Windows Mobile","00:24:32","Not latest view","PL (Poland)"
"48","Wojtek","2021-11-19 08:48:41","00:00:14","Autoplayed: user action: None; ","Season 1 Main Character Intro Clip: Christmas Flow","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:14","00:00:14","PL (Poland)"
"49","Wojtek","2021-11-19 08:46:20","00:00:05","Autoplayed: user action: None; ","Teaser 1: Tiger King 2","TEASER_TRAILER","Netflix Windows App - Cadmium Windows Mobile","00:00:05","00:00:05","PL (Poland)"
"50","Wojtek","2021-11-18 21:07:29","00:03:56","Autoplayed: user action: None; ","Trailer Park Boys: Season 8: The Super-Duper-Industrial-Bubbles-Honey-Oil-Inator (Episode 8)","","Netflix Windows App - Cadmium Windows Mobile","00:03:56","00:03:56","PL (Poland)"
"51","Wojtek","2021-11-18 20:52:55","00:14:30","","Trailer Park Boys: Season 8: Community Service and a Boner Made with Love (Episode 7)","","Netflix Windows App - Cadmium Windows Mobile","00:22:10","00:22:10","PL (Poland)"
"52","Wojtek","2021-11-18 20:52:13","00:00:27","","The Devil Next Door: Limited Series: Nightmares of Treblinka (Episode 2)","","Netflix Windows App - Cadmium Windows Mobile","00:26:23","00:26:23","PL (Poland)"
"53","Wojtek","2021-11-18 20:47:20","00:04:08","","Narcos: Season 3: Follow the Money (Episode 3)","","Netflix Windows App - Cadmium Windows Mobile","00:08:51","00:08:51","PL (Poland)"
"54","Wojtek","2021-11-18 20:47:04","00:00:02","","Elite: Season 1: Welcome (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","00:00:02","00:00:02","PL (Poland)"
"55","Wojtek","2021-11-18 20:45:53","00:00:16","Autoplayed: user action: None; ","Genre Specific Moment Clip: Red Notice","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:16","00:00:16","PL (Poland)"
"56","Wojtek","2021-11-10 14:25:36","00:00:19","Autoplayed: user action: None; ","The Blacklist: Season 1_hook_primary_16x9","HOOK","Netflix Opera Other","00:00:19","00:00:19","PL (Poland)"
"57","Wojtek","2021-11-10 14:24:27","00:01:05","Autoplayed: user action: None; ","Season 1 Trailer: Arcane","TRAILER","Netflix Opera Other","00:01:05","00:01:05","PL (Poland)"
"58","Wojtek","2021-11-10 13:24:51","00:57:40","","Sex Education: Season 3: Episode 8","","Netflix Opera Other","00:57:37","00:57:37","PL (Poland)"
"59","Wojtek","2021-11-08 22:31:19","00:26:00","","The Devil Next Door: Limited Series: Nightmares of Treblinka (Episode 2)","","Netflix Windows App - Cadmium Windows Mobile","00:26:00","Not latest view","PL (Poland)"
"60","Wojtek","2021-11-08 22:31:19","00:25:58","","The Devil Next Door: Limited Series: Nightmares of Treblinka (Episode 2)","","Netflix Windows App - Cadmium Windows Mobile","00:25:58","Not latest view","PL (Poland)"
"61","Wojtek","2021-11-08 19:00:04","00:13:22","","Stuck Together","","Netflix Windows App - Cadmium Windows Mobile","00:15:40","00:15:40","PL (Poland)"
"62","Wojtek","2021-11-07 13:02:43","00:01:05","Autoplayed: user action: None; ","Dynasty: Season 4 (Trailer)","TRAILER","Netflix Windows App - Cadmium Windows Mobile","00:00:00","00:00:00","PL (Poland)"
"63","Wojtek","2021-11-07 12:31:58","00:00:41","","Stuck Together","","Netflix Windows App - Cadmium Windows Mobile","00:02:21","Not latest view","PL (Poland)"
"64","Wojtek","2021-11-06 23:21:07","00:04:53","","Sex Education: Season 3: Episode 8","","Netflix Opera Other","00:04:59","Not latest view","PL (Poland)"
"65","Wojtek","2021-11-06 22:24:17","00:55:25","","Sex Education: Season 3: Episode 7","","Netflix Opera Other","00:55:25","00:55:25","PL (Poland)"
"66","Wojtek","2021-11-06 21:55:37","00:01:43","","Stuck Together","","Netflix Windows App - Cadmium Windows Mobile","00:01:43","Not latest view","PL (Poland)"
"67","Wojtek","2021-11-05 20:59:11","00:55:57","","Sex Education: Season 3: Episode 6","","Netflix Opera Other","00:55:55","00:55:55","PL (Poland)"
"68","Wojtek","2021-11-05 20:58:30","00:00:05","","Sex Education: Season 3: Episode 6","","Netflix Opera Other","00:00:05","Not latest view","PL (Poland)"
"69","Wojtek","2021-10-30 20:24:27","00:51:10","Autoplayed: user action: None; ","Sex Education: Season 3: Episode 5","","Netflix Opera Other","00:51:19","00:51:19","PL (Poland)"
"70","Wojtek","2021-10-30 19:31:48","00:51:10","","Sex Education: Season 3: Episode 4","","Netflix Opera Other","00:51:07","00:51:07","PL (Poland)"
"71","Wojtek","2021-10-29 21:18:34","00:00:32","Autoplayed: user action: None; ","Sex Education: Season 3: Episode 4","","Netflix Opera Other","00:00:38","Not latest view","PL (Poland)"
"72","Wojtek","2021-10-29 20:25:21","00:50:25","","Sex Education: Season 3: Episode 3","","Netflix Opera Other","00:50:31","00:50:31","PL (Poland)"
"73","Wojtek","2021-10-29 19:23:16","00:59:41","","Sex Education: Season 3: Episode 2","","Netflix Opera Other","00:58:14","00:58:14","PL (Poland)"
"74","Wojtek","2021-10-25 21:22:31","00:07:44","Autoplayed: user action: None; ","Trailer Park Boys: Season 8: Community Service and a Boner Made with Love (Episode 7)","","Netflix Windows App - Cadmium Windows Mobile","00:07:44","Not latest view","PL (Poland)"
"75","Wojtek","2021-10-25 20:56:44","00:25:41","","Trailer Park Boys: Season 8: Friends with the Benedicts (Episode 6)","","Netflix Windows App - Cadmium Windows Mobile","00:25:41","00:25:41","PL (Poland)"
"76","Wojtek","2021-10-25 20:56:39","00:00:02","","Trailer Park Boys: Season 8: Crawling Through the Sh*tpipe (Episode 10)","","Netflix Windows App - Cadmium Windows Mobile","00:00:02","00:00:02","PL (Poland)"
"77","Wojtek","2021-10-25 20:56:29","00:00:07","","Trailer Park Boys: Season 8: Friends with the Benedicts (Episode 6)","","Netflix Windows App - Cadmium Windows Mobile","00:00:07","Not latest view","PL (Poland)"
"78","Wojtek","2021-10-25 20:55:49","00:00:35","","Trailer Park Boys: Season 3: Where in the F**k Is Randy's Barbeque? (Episode 6)","","Netflix Windows App - Cadmium Windows Mobile","00:04:59","00:04:59","PL (Poland)"
"79","Wojtek","2021-10-18 21:09:50","00:53:25","","Squid Game: Season 1: One Lucky Day (Episode 9)","","Netflix Opera Other","00:51:37","00:51:37","PL (Poland)"
"80","Wojtek","2021-10-18 20:40:00","00:29:48","","Squid Game: Season 1: Front Man (Episode 8)","","Netflix Opera Other","00:28:06","00:28:06","PL (Poland)"
"81","Wojtek","2021-10-18 19:43:52","00:53:39","","Squid Game: Season 1: VIPS (Episode 7)","","Netflix Opera Other","00:53:39","00:53:39","PL (Poland)"
"82","Wojtek","2021-10-17 12:49:29","00:56:56","","Squid Game: Season 1: Gganbu (Episode 6)","","Netflix Opera Other","00:57:18","00:57:18","PL (Poland)"
"83","Wojtek","2021-10-17 12:02:39","00:44:07","","Squid Game: Season 1: A Fair World (Episode 5)","","Netflix Opera Other","00:47:13","00:47:13","PL (Poland)"
"84","Wojtek","2021-10-17 11:58:04","00:00:04","Autoplayed: user action: None; ","Season 1 Inciting Incident Clip: My Name","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:04","00:00:04","PL (Poland)"
"85","Wojtek","2021-10-16 21:33:45","00:18:42","","Squid Game: Season 1: A Fair World (Episode 5)","","Netflix Windows App - Cadmium Windows Mobile","00:18:17","Not latest view","PL (Poland)"
"86","Wojtek","2021-10-16 20:28:13","00:51:27","","Squid Game: Season 1: Stick to the Team (Episode 4)","","Netflix Windows App - Cadmium Windows Mobile","00:50:35","00:50:35","PL (Poland)"
"87","Wojtek","2021-10-13 20:10:04","00:05:19","","Squid Game: Season 1: Stick to the Team (Episode 4)","","Android DefaultWidevineL3Phone Android Phone","00:05:18","Not latest view","PL (Poland)"
"88","Wojtek","2021-10-09 17:47:40","00:48:25","","Squid Game: Season 1: The Man with the Umbrella (Episode 3)","","Android DefaultWidevineL3Phone Android Phone","00:49:46","00:49:46","PL (Poland)"
"89","Wojtek","2021-10-09 17:43:35","00:03:56","","Squid Game: Season 1: Hell (Episode 2)","","Android DefaultWidevineL3Phone Android Phone","01:02:22","01:02:22","PL (Poland)"
"90","Wojtek","2021-10-09 17:17:01","00:24:56","","Squid Game: Season 1: Hell (Episode 2)","","Android DefaultWidevineL3Phone Android Phone","00:54:08","Not latest view","PL (Poland)"
"91","Wojtek","2021-10-09 17:03:19","00:11:36","","Squid Game: Season 1: Hell (Episode 2)","","Android DefaultWidevineL3Phone Android Phone","00:29:11","Not latest view","PL (Poland)"
"92","Wojtek","2021-10-09 10:29:09","00:18:12","","Squid Game: Season 1: Hell (Episode 2)","","Netflix Windows App - Cadmium Windows Mobile","00:16:47","Not latest view","PL (Poland)"
"93","Wojtek","2021-10-09 10:29:01","00:00:05","","Squid Game: Season 1: Red Light, Green Light (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","00:00:05","00:00:05","PL (Poland)"
"94","Wojtek","2021-10-09 07:11:03","00:14:57","","Squid Game: Season 1: Red Light, Green Light (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","00:55:16","Not latest view","PL (Poland)"
"95","Wojtek","2021-10-08 18:54:13","00:07:06","","Squid Game: Season 1: Red Light, Green Light (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","00:42:02","Not latest view","PL (Poland)"
"96","Wojtek","2021-10-08 17:15:06","00:37:00","","Squid Game: Season 1: Red Light, Green Light (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","00:34:57","Not latest view","PL (Poland)"
"97","Wojtek","2021-10-08 17:14:47","00:00:06","Autoplayed: user action: None; ","Season 2 High Context Clip: Sexy Beasts","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:06","00:00:06","PL (Poland)"
"98","Wojtek","2021-10-04 21:36:34","00:00:02","Autoplayed: user action: None; ","Squid Game: Season 1: Hell (Episode 2)","","Netflix Windows App - Cadmium Windows Mobile","00:00:02","Not latest view","PL (Poland)"
"99","Wojtek","2021-10-04 20:41:00","00:55:29","","Squid Game: Season 1: Red Light, Green Light (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","00:55:29","Not latest view","PL (Poland)"
"100","Wojtek","2021-10-01 22:13:39","00:00:06","","Trailer Park Boys: Season 3: Temporary Relief Assistant Trailer Park Supervisor (Episode 2)","","Android DefaultWidevineL3Phone Android Phone","00:14:50","00:14:50","PL (Poland)"
"101","Wojtek","2021-09-28 11:56:10","00:00:08","Autoplayed: user action: None; ","Trailer: Britney Vs Spears","TRAILER","Netflix Windows App - Cadmium Windows Mobile","00:00:08","00:00:08","PL (Poland)"
"102","Wojtek","2021-09-28 11:26:05","00:00:03","","Sex Education: Season 3: Episode 1","","Netflix Windows App - Cadmium Windows Mobile","00:14:00","00:14:00","PL (Poland)"
"103","Wojtek","2021-09-27 18:12:46","00:14:00","","Sex Education: Season 3: Episode 1","","Netflix Windows App - Cadmium Windows Mobile","00:14:00","Not latest view","PL (Poland)"
"104","Wojtek","2021-09-25 14:43:27","00:00:10","","The Devil Next Door (Trailer)","TRAILER","Android DefaultWidevineL3Phone Android Phone","00:00:10","00:00:10","PL (Poland)"
"105","Wojtek","2021-09-25 14:43:03","00:00:16","","The Devil Next Door (Trailer)","TRAILER","Android DefaultWidevineL3Phone Android Phone","00:00:16","Not latest view","PL (Poland)"
"106","Wojtek","2021-09-20 08:46:12","00:00:12","","Keeping Up with the Kardashians: Season 5: The Missing Ring (Episode 3)","","Android DefaultWidevineL3Phone Android Phone","00:00:52","00:00:52","PL (Poland)"
"107","Wojtek","2021-09-20 08:45:40","00:00:24","","Squid Game: Season 1: Red Light, Green Light (Episode 1)","","Android DefaultWidevineL3Phone Android Phone","00:00:24","Not latest view","PL (Poland)"
"108","Wojtek","2021-09-20 08:44:42","00:00:41","","Keeping Up with the Kardashians: Season 5: The Missing Ring (Episode 3)","","Android DefaultWidevineL3Phone Android Phone","00:00:41","Not latest view","PL (Poland)"
"109","Wojtek","2021-09-20 08:43:00","00:01:34","","Season 1 Teaser 1: Squid Game","TEASER_TRAILER","Android DefaultWidevineL3Phone Android Phone","00:01:34","00:01:34","PL (Poland)"
"110","Wojtek","2021-09-20 08:16:03","00:21:56","","Keeping Up with the Kardashians: Season 5: Blind Date (Episode 2)","","Android DefaultWidevineL3Phone Android Phone","00:21:37","00:21:37","PL (Poland)"
"111","Wojtek","2021-09-20 07:53:59","00:21:28","","Keeping Up with the Kardashians: Season 5: Kim's House Party (Episode 1)","","Android DefaultWidevineL3Phone Android Phone","00:21:17","00:21:17","PL (Poland)"
"112","Wojtek","2021-09-20 07:30:11","00:22:49","","Sexy Beasts: Season 1: Emma the Demon (Episode 1)","","Android DefaultWidevineL3Phone Android Phone","00:22:49","00:22:49","PL (Poland)"
"113","Wojtek","2021-09-20 07:17:59","00:00:05","","Too Hot To Handle: Latino: Season 1: Zaira, Sword in Hand (Episode 3)","","Android DefaultWidevineL3Phone Android Phone","00:00:05","00:00:05","PL (Poland)"
"114","Wojtek","2021-09-18 13:35:46","00:36:14","","Too Hot To Handle: Latino: Season 1: Out of Sight, Out of Control (Episode 2)","","Android DefaultWidevineL3Phone Android Phone","00:36:41","00:36:41","PL (Poland)"
"115","Wojtek","2021-09-18 13:35:37","00:00:06","","Season 1 Trailer: Too Hot to Handle: Latino","TRAILER","Android DefaultWidevineL3Phone Android Phone","00:00:06","00:00:06","PL (Poland)"
"116","Wojtek","2021-09-16 21:51:31","00:06:54","","Modern Family: Season 4: The Wow Factor (Episode 18)","","Netflix Windows App - Cadmium Windows Mobile","00:06:54","00:06:54","PL (Poland)"
"117","Wojtek","2021-09-16 21:29:41","00:21:41","","Modern Family: Season 4: Best Men (Episode 17)","","Netflix Windows App - Cadmium Windows Mobile","00:21:41","00:21:41","PL (Poland)"
"118","Wojtek","2021-09-16 21:29:19","00:00:13","","Modern Family: Season 4: Bad Hair Day (Episode 16)","","Netflix Windows App - Cadmium Windows Mobile","00:00:13","00:00:13","PL (Poland)"
"119","Wojtek","2021-09-16 14:25:11","00:21:54","","Modern Family: Season 4: Bad Hair Day (Episode 16)","","Netflix Windows App - Cadmium Windows Mobile","00:21:27","Not latest view","PL (Poland)"
"120","Wojtek","2021-09-16 14:07:19","00:17:49","","Modern Family: Season 4: Heart Broken (Episode 15)","","Netflix Windows App - Cadmium Windows Mobile","00:21:45","00:21:45","PL (Poland)"
"121","Wojtek","2021-09-16 13:27:34","00:00:11","Autoplayed: user action: None; ","Season 4 Trailer: Good Girls","TRAILER","Netflix Windows App - Cadmium Windows Mobile","00:00:11","00:00:11","PL (Poland)"
"122","Wojtek","2021-09-16 12:55:35","00:01:55","","Modern Family: Season 4: Heart Broken (Episode 15)","","Netflix Windows App - Cadmium Windows Mobile","00:03:59","Not latest view","PL (Poland)"
"123","Wojtek","2021-09-16 07:06:45","00:01:39","Autoplayed: user action: None; ","Trailer: Schumacher","TRAILER","Netflix Windows App - Cadmium Windows Mobile","00:00:00","00:00:00","PL (Poland)"
"124","Wojtek","2021-09-16 07:06:32","00:00:05","","Modern Family: Season 4: Heart Broken (Episode 15)","","Netflix Windows App - Cadmium Windows Mobile","00:02:05","Not latest view","PL (Poland)"
"125","Wojtek","2021-09-15 21:09:17","00:00:05","Autoplayed: user action: None; ","Trailer: Schumacher","TRAILER","Netflix Windows App - Cadmium Windows Mobile","00:00:05","Not latest view","PL (Poland)"
"126","Wojtek","2021-09-14 22:37:42","00:02:01","Autoplayed: user action: None; ","Modern Family: Season 4: Heart Broken (Episode 15)","","Netflix Windows App - Cadmium Windows Mobile","00:02:01","Not latest view","PL (Poland)"
"127","Wojtek","2021-09-14 22:15:11","00:21:33","","Modern Family: Season 4: A Slight at the Opera (Episode 14)","","Netflix Windows App - Cadmium Windows Mobile","00:21:33","00:21:33","PL (Poland)"
"128","Wojtek","2021-09-09 06:22:38","00:45:22","","Money Heist: Part 5: Live Many Lives (Episode 5)","","Netflix Windows App - Cadmium Windows Mobile","00:52:04","00:52:04","PL (Poland)"
"129","Wojtek","2021-09-09 06:00:53","00:19:10","","Money Heist: Part 5: Your Place in Heaven (Episode 4)","","Netflix Windows App - Cadmium Windows Mobile","00:48:01","00:48:01","PL (Poland)"
"130","Wojtek","2021-09-08 14:59:05","00:27:03","Autoplayed: user action: None; ","Money Heist: Part 5: Your Place in Heaven (Episode 4)","","Netflix Windows App - Cadmium Windows Mobile","00:27:53","Not latest view","PL (Poland)"
"131","Wojtek","2021-09-08 14:08:12","00:46:03","","Money Heist: Part 5: Welcome to the Spectacle of Life (Episode 3)","","Netflix Windows App - Cadmium Windows Mobile","00:46:03","00:46:03","PL (Poland)"
"132","Wojtek","2021-09-06 20:28:42","00:48:22","","Money Heist: Part 5: Do You Believe in Reincarnation? (Episode 2)","","Netflix Windows App - Cadmium Windows Mobile","00:48:53","00:48:53","PL (Poland)"
"133","Wojtek","2021-09-05 18:16:56","00:00:33","Autoplayed: user action: None; ","Money Heist: Part 5: Do You Believe in Reincarnation? (Episode 2)","","Netflix Windows App - Cadmium Windows Mobile","00:00:33","Not latest view","PL (Poland)"
"134","Wojtek","2021-09-05 17:54:07","00:22:31","","Money Heist: Part 5: The End of the Road (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","00:46:05","00:46:05","PL (Poland)"
"135","Wojtek","2021-09-05 17:39:33","00:01:23","Autoplayed: user action: None; ","La Casa de Papel: Part 5: Tokio Stockholm and Lisbon Getting Fresh Air","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:00","00:00:00","PL (Poland)"
"136","Wojtek","2021-09-05 16:45:46","00:23:34","","Money Heist: Part 5: The End of the Road (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","00:23:34","Not latest view","PL (Poland)"
"137","Wojtek","2021-09-05 16:45:30","00:00:04","Autoplayed: user action: None; ","La Casa de Papel: Part 5: Tokio Stockholm and Lisbon Getting Fresh Air","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:04","Not latest view","PL (Poland)"
"138","Wojtek","2021-08-31 20:16:20","00:00:05","Autoplayed: user action: None; ","Love (Trailer)","TRAILER","Chrome PC (Cadmium)","00:00:05","00:00:05","PL (Poland)"
"139","Wojtek","2021-08-31 19:04:33","00:21:07","","Modern Family: Season 4: Fulgencio (Episode 13)","","Chrome PC (Cadmium)","00:21:28","00:21:28","PL (Poland)"
"140","Wojtek","2021-08-31 19:04:25","00:00:03","Autoplayed: user action: User_Interaction; ","Modern Family: Season 4: Party Crasher (Episode 12)","","Chrome PC (Cadmium)","00:20:53","00:20:53","PL (Poland)"
"141","Wojtek","2021-08-30 13:48:53","00:00:52","","Call My Agent!: Season 1: Cécile (Episode 1)","","Chrome PC (Cadmium)","00:21:02","00:21:02","PL (Poland)"
