Entity,Code,Year,Mammals (total endemic)
Ukraine,UKR,2020,3
United Arab Emirates,ARE,2020,0
United Kingdom,GBR,2020,0
United States,USA,2020,104
United States Minor Outlying Islands,UMI,2020,0
United States Virgin Islands,VIR,2020,0
Uruguay,URY,2020,3
Uzbekistan,UZB,2020,0
Vanuatu,VUT,2020,2
Vatican,VAT,2020,0
Venezuela,VEN,2020,28
Vietnam,VNM,2020,20
Wallis and Futuna,WLF,2020,0
Western Sahara,ESH,2020,0
Yemen,YEM,2020,4
Zambia,ZMB,2020,5
Zimbabwe,ZWE,2020,0
